Parallel{
Sell 16800  YHOO @ 99.79 #+15145555329
Buy 16270  YHOO @ 108.46 #+15145558722
Sell 34900  YHOO @ 106.74 #+15145555684
Sell 25460  YHOO @ 107.01 #+15145552462
Sell 16050  YHOO @ 106.09 #+15145552059
Sell 13830  YHOO @ 103.58 #+15145552695
Buy 25340  YHOO @ 105.9 #+15145555870
Buy 32490  YHOO @ 105.92 #+15145553210
Buy 30080  YHOO @ 105.92 #+15145554100
Sell 17500  YHOO @ 105.98 #+15145553658
Sell 32640  YHOO @ 107.71 #+15145552012
Sell 22960  YHOO @ 104.59 #+15145554337
Sell 24440  YHOO @ 105.25 #+15145557787
Sell 41280  YHOO @ 105.73 #+15145558909
Buy 21990  YHOO @ 105.1 #+15145550820
Buy 14580  YHOO @ 105.56 #+15145555221
Buy 19450  YHOO @ 108.73 #+15145558919
Sell 18680  YHOO @ 105.23 #+15145552090
Sell 21980  YHOO @ 105.87 #+15145555832
Sell 16510  YHOO @ 105.15 #+15145555434
Buy 18200  YHOO @ 105.47 #+15145559724
Buy 22230  YHOO @ 106.22 #+15145553556
Buy 21000  YHOO @ 105.31 #+15145558827
Buy 40280  YHOO @ 105.5 #+15145555951
Sell 30240  YHOO @ 106.48 #+15145555981
Buy 20090  YHOO @ 105.86 #+15145556539
Sell 23990  YHOO @ 105.36 #+15145558523
Sell 34160  YHOO @ 105.32 #+15145554528
Sell 23150  YHOO @ 105.2 #+15145550117
Buy 19250  YHOO @ 105.09 #+15145559215
Sell 23490  YHOO @ 101.59 #+15145559690
Buy 40350  YHOO @ 104.87 #+15145556846
Sell 25640  YHOO @ 104.39 #+15145551928
Sell 31200  YHOO @ 104.5 #+15145550777
Buy 62080  YHOO @ 104.41 #+15145552416
Buy 120030  YHOO @ 104.8 #+15145554899
Sell 52300  YHOO @ 101.12 #+15145558111
Sell 131180  YHOO @ 104.35 #+15145554532
Sell 18500  YHOO @ 105.51 #+15145551181
Buy 15590  YHOO @ 105.42 #+15145559337
Buy 29690  YHOO @ 106.53 #+15145557659
Sell 30780  YHOO @ 106.55 #+15145550633
Buy 23580  YHOO @ 104.19 #+15145558148
Buy 32620  YHOO @ 106.36 #+15145559170
Sell 44030  YHOO @ 105.58 #+15145558378
Buy 30800  YHOO @ 105.67 #+15145552370
Sell 14410  YHOO @ 105.38 #+15145559458
Buy 16650  YHOO @ 104.94 #+15145554687
Buy 20060  YHOO @ 104.58 #+15145556638
Sell 17770  YHOO @ 104.49 #+15145554819
Buy 13980  YHOO @ 102.39 #+15145555924
Buy 34310  YHOO @ 107.16 #+15145559919
Sell 31540  YHOO @ 103.8 #+15145559279
Buy 21930  YHOO @ 101.65 #+15145555886
Buy 14750  YHOO @ 102.95 #+15145555919
Buy 16590  YHOO @ 103.8 #+15145557011
Buy 16700  YHOO @ 103.23 #+15145559558
Sell 19780  YHOO @ 102.87 #+15145554832
Sell 34840  YHOO @ 102.14 #+15145552400
Sell 13110  YHOO @ 102.89 #+15145558926
Buy 12770  YHOO @ 102.88 #+15145559939
Buy 13290  YHOO @ 103.63 #+15145559654
Buy 18460  YHOO @ 103.07 #+15145558178
Sell 9560  YHOO @ 103.09 #+15145553784
Buy 12480  YHOO @ 102.83 #+15145558405
Sell 15130  YHOO @ 103.11 #+15145554856
Buy 12940  YHOO @ 102.6 #+15145553945
Buy 10030  YHOO @ 102.06 #+15145550681
Buy 16060  YHOO @ 104.85 #+15145557142
Buy 21040  YHOO @ 105.34 #+15145552579
Buy 20120  YHOO @ 102.87 #+15145557325
Buy 30840  YHOO @ 102.2 #+15145556610
Sell 30690  YHOO @ 101.36 #+15145557135
Sell 20610  YHOO @ 100.66 #+15145558844
Sell 26660  YHOO @ 101.32 #+15145550723
Buy 37540  YHOO @ 102.99 #+15145556804
Sell 38370  YHOO @ 100.9 #+15145558381
Buy 51480  YHOO @ 100.69 #+15145555751
Sell 21610  YHOO @ 101.09 #+15145559375
Buy 19450  YHOO @ 102.4 #+15145551987
Sell 25650  YHOO @ 101.46 #+15145551377
Buy 33790  YHOO @ 100.16 #+15145556532
Sell 12710  YHOO @ 103.05 #+15145559077
Buy 18770  YHOO @ 100.23 #+15145552899
Buy 20270  YHOO @ 100.79 #+15145559509
Buy 35200  YHOO @ 101.18 #+15145555129
Buy 24520  YHOO @ 98.71 #+15145555052
Buy 16700  YHOO @ 100.39 #+15145550154
Buy 20210  YHOO @ 101.38 #+15145555603
Buy 16930  YHOO @ 100.35 #+15145559662
Sell 31570  YHOO @ 100.15 #+15145556471
Sell 35220  YHOO @ 99.81 #+15145553446
Buy 34750  YHOO @ 99.96 #+15145559640
Sell 13720  YHOO @ 100.34 #+15145555314
Buy 23560  YHOO @ 101.1 #+15145557639
Buy 41820  YHOO @ 100.5 #+15145558349
Buy 31390  YHOO @ 100.77 #+15145551015
Buy 14500  YHOO @ 99.29 #+15145556916
Sell 15380  YHOO @ 100 #+15145551280
Buy 15430  YHOO @ 99.79 #+15145556651
Buy 17770  YHOO @ 97.64 #+15145558690
Buy 17930  YHOO @ 97.42 #+15145555417
Buy 16040  YHOO @ 99.28 #+15145556890
Sell 19120  YHOO @ 99.48 #+15145556367
Buy 33310  YHOO @ 99.4 #+15145552479
Buy 21100  YHOO @ 96.5 #+15145552189
Buy 26930  YHOO @ 99.16 #+15145552183
Buy 22910  YHOO @ 97.18 #+15145557819
Sell 24730  YHOO @ 98.93 #+15145550539
Sell 39060  YHOO @ 95.68 #+15145557382
Buy 49690  YHOO @ 97.8 #+15145558101
Buy 26670  YHOO @ 97.52 #+15145558662
Sell 23370  YHOO @ 98.05 #+15145557280
Buy 23360  YHOO @ 98.15 #+15145554915
Sell 14620  YHOO @ 98.1 #+15145557498
Buy 17130  YHOO @ 98.06 #+15145555724
Buy 21390  YHOO @ 97.9 #+15145557318
Sell 13590  YHOO @ 98 #+15145553064
Sell 15960  YHOO @ 98.15 #+15145558665
Sell 15060  YHOO @ 97.81 #+15145556750
Buy 14610  YHOO @ 97.49 #+15145551446
Sell 16170  YHOO @ 97.74 #+15145551411
Sell 19860  YHOO @ 96.95 #+15145550095
Sell 30650  YHOO @ 97.87 #+15145556947
Buy 23440  YHOO @ 99.98 #+15145558414
Sell 11090  YHOO @ 96.8 #+15145559925
Buy 17680  YHOO @ 98.05 #+15145556751
Sell 7750  YHOO @ 97.29 #+15145555804
Sell 8310  YHOO @ 96.89 #+15145552665
Sell 7660  YHOO @ 96.49 #+15145551642
Buy 8380  YHOO @ 97.07 #+15145552525
Buy 7490  YHOO @ 96.76 #+15145554864
Sell 8880  YHOO @ 97.14 #+15145559667
Sell 6760  YHOO @ 96.41 #+15145550943
Sell 11390  YHOO @ 96.71 #+15145558432
Buy 17560  YHOO @ 96.69 #+15145555404
Buy 24890  YHOO @ 97.96 #+15145551016
Buy 12940  YHOO @ 95.97 #+15145554842
Buy 10940  YHOO @ 96.32 #+15145550467
Buy 11420  YHOO @ 93.81 #+15145555071
Sell 12750  YHOO @ 96.24 #+15145554902
Sell 8980  YHOO @ 95.1 #+15145554805
Buy 8670  YHOO @ 97.72 #+15145555197
Buy 21770  YHOO @ 97.51 #+15145553035
Sell 29050  YHOO @ 95.82 #+15145556966
Sell 12060  YHOO @ 96.31 #+15145551792
Buy 9220  YHOO @ 95.43 #+15145553384
Buy 13160  YHOO @ 93.57 #+15145557831
Buy 17430  YHOO @ 95.3 #+15145554333
Sell 24980  YHOO @ 95.12 #+15145557923
Sell 14650  YHOO @ 94.61 #+15145553389
Buy 4950  YHOO @ 94.82 #+15145550090
Buy 11560  YHOO @ 96.04 #+15145555489
Buy 22430  YHOO @ 98.19 #+15145553685
Buy 14310  YHOO @ 94.79 #+15145556526
Sell 24030  YHOO @ 92.21 #+15145555631
Buy 46500  YHOO @ 95.13 #+15145559980
Sell 10300  YHOO @ 95.39 #+15145550281
Buy 23480  YHOO @ 94.1 #+15145557051
Sell 18930  YHOO @ 94.13 #+15145551799
Buy 17700  YHOO @ 94.63 #+15145554108
Sell 15310  YHOO @ 94.52 #+15145552380
Buy 17010  YHOO @ 92.14 #+15145557564
Sell 56210  YHOO @ 93.83 #+15145550050
Buy 15560  YHOO @ 95.54 #+15145551876
Sell 13410  YHOO @ 93.74 #+15145551302
Buy 26480  YHOO @ 93.89 #+15145557531
Sell 17320  YHOO @ 94.86 #+15145552122
Buy 9960  YHOO @ 93.59 #+15145554542
Buy 14360  YHOO @ 90.22 #+15145559125
Sell 16010  YHOO @ 93.4 #+15145550025
Sell 12680  YHOO @ 95.77 #+15145550899
Buy 13760  YHOO @ 93.48 #+15145550156
Sell 22340  YHOO @ 91.3 #+15145554199
Sell 17250  YHOO @ 93.58 #+15145558981
Sell 24260  YHOO @ 94.35 #+15145556822
Sell 26930  YHOO @ 93.38 #+15145558639
Sell 37790  YHOO @ 92.52 #+15145556088
Sell 32670  YHOO @ 93.8 #+15145555686
Buy 35870  YHOO @ 92.31 #+15145556845
Sell 58480  YHOO @ 92.72 #+15145558478
Buy 123440  YHOO @ 92.56 #+15145556983
Sell 50770  YHOO @ 92.26 #+15145552642
Sell 12460  YHOO @ 91.95 #+15145558123
Buy 8340  YHOO @ 92.77 #+15145558750
Sell 16100  YHOO @ 90.51 #+15145559146
Buy 18060  YHOO @ 87.75 #+15145551948
Buy 20290  YHOO @ 90.18 #+15145554286
Buy 23980  YHOO @ 90.21 #+15145554326
Sell 20550  YHOO @ 88.25 #+15145558428
Buy 16090  YHOO @ 89.86 #+15145559059
Sell 20370  YHOO @ 89.92 #+15145556705
Buy 24470  YHOO @ 88.28 #+15145558366
Buy 16070  YHOO @ 89.94 #+15145553996
Sell 20670  YHOO @ 88.74 #+15145557128
Sell 24150  YHOO @ 93.26 #+15145558829
Sell 16930  YHOO @ 89.78 #+15145554379
Sell 18560  YHOO @ 89.35 #+15145552701
Buy 32040  YHOO @ 89.27 #+15145559692
Sell 26230  YHOO @ 93.31 #+15145557915
Buy 79560  YHOO @ 89.61 #+15145552199
Buy 27280  YHOO @ 88.51 #+15145559707
Buy 90030  YHOO @ 90.48 #+15145551527
Buy 23060  YHOO @ 89.02 #+15145550058
Sell 24260  YHOO @ 87.44 #+15145552348
Sell 18590  YHOO @ 87.18 #+15145554244
Buy 17730  YHOO @ 89.04 #+15145557403
Sell 12100  YHOO @ 88.61 #+15145553768
Buy 10240  YHOO @ 87.76 #+15145557329
Buy 12470  YHOO @ 87.83 #+15145553713
Buy 18190  YHOO @ 88.17 #+15145552143
Buy 24610  YHOO @ 87.44 #+15145552337
Sell 16480  YHOO @ 91.98 #+15145555333
Sell 7120  YHOO @ 84.88 #+15145551405
Buy 12700  YHOO @ 87.11 #+15145553314
Sell 14600  YHOO @ 87.32 #+15145558375
Buy 15550  YHOO @ 85.32 #+15145553705
Sell 13420  YHOO @ 87.32 #+15145552346
Sell 12290  YHOO @ 87.02 #+15145552585
Buy 17190  YHOO @ 84.98 #+15145559256
Sell 14100  YHOO @ 87.28 #+15145557589
Sell 15530  YHOO @ 86.66 #+15145556371
Buy 13290  YHOO @ 87.48 #+15145557407
Buy 11410  YHOO @ 87.21 #+15145557410
Sell 7840  YHOO @ 86.98 #+15145551722
Buy 11650  YHOO @ 82.56 #+15145557505
Buy 13230  YHOO @ 86.97 #+15145554190
Buy 9650  YHOO @ 88.47 #+15145552861
Buy 12200  YHOO @ 87.26 #+15145553195
Sell 13390  YHOO @ 87.73 #+15145553251
Sell 13070  YHOO @ 89.68 #+15145556809
Buy 14290  YHOO @ 86.7 #+15145553191
Sell 14090  YHOO @ 86.79 #+15145550156
Sell 14160  YHOO @ 86.59 #+15145556519
Buy 18380  YHOO @ 86.46 #+15145556381
Buy 16700  YHOO @ 86.25 #+15145555604
Sell 13520  YHOO @ 85.82 #+15145554592
Buy 20970  YHOO @ 85.89 #+15145556861
Sell 23240  YHOO @ 87.29 #+15145559828
Sell 34310  YHOO @ 86.44 #+15145551418
Sell 42670  YHOO @ 86.09 #+15145557410
Buy 78030  YHOO @ 87.62 #+15145550133
Buy 29570  YHOO @ 85.18 #+15145558457
Buy 16160  YHOO @ 86.76 #+15145551949
Buy 16820  YHOO @ 87.1 #+15145559016
Buy 12620  YHOO @ 87.88 #+15145551913
Buy 12250  YHOO @ 86.24 #+15145556334
Buy 22320  YHOO @ 86.82 #+15145552679
Buy 15580  YHOO @ 86.99 #+15145555347
Buy 12680  YHOO @ 86.32 #+15145558108
Buy 17080  YHOO @ 86.22 #+15145557219
Sell 17410  YHOO @ 84.71 #+15145551297
Sell 17330  YHOO @ 85.8 #+15145551026
Sell 18560  YHOO @ 86.75 #+15145556917
Buy 33220  YHOO @ 86.05 #+15145559637
Sell 23910  YHOO @ 85.06 #+15145552835
Buy 31820  YHOO @ 83.88 #+15145550513
Buy 8170  YHOO @ 84.98 #+15145557792
Sell 29810  YHOO @ 86.05 #+15145557487
Sell 18280  YHOO @ 85.42 #+15145559155
Buy 13370  YHOO @ 85.37 #+15145556626
Sell 22410  YHOO @ 87.06 #+15145555690
Sell 20410  YHOO @ 85.55 #+15145559565
Sell 12760  YHOO @ 81.16 #+15145557725
Buy 10760  YHOO @ 84.94 #+15145555540
Buy 15920  YHOO @ 85.35 #+15145553119
Buy 13880  YHOO @ 86.53 #+15145552960
Buy 12490  YHOO @ 84.8 #+15145555974
Sell 14050  YHOO @ 85.07 #+15145556420
Buy 21240  YHOO @ 86.74 #+15145559694
Buy 18100  YHOO @ 85.04 #+15145559971
Sell 35500  YHOO @ 84.52 #+15145553469
Sell 19150  YHOO @ 83.34 #+15145557261
Buy 23600  YHOO @ 84.37 #+15145558447
Buy 28390  YHOO @ 85.24 #+15145557687
Buy 24990  YHOO @ 85 #+15145550921
Sell 30470  YHOO @ 84.67 #+15145553091
Buy 17610  YHOO @ 84.56 #+15145557584
Buy 31090  YHOO @ 83.8 #+15145556474
Sell 33650  YHOO @ 84.84 #+15145550511
Buy 27850  YHOO @ 84.65 #+15145554356
Sell 20110  YHOO @ 85.27 #+15145552805
Sell 31210  YHOO @ 84.71 #+15145554841
Sell 33780  YHOO @ 85.45 #+15145551820
Buy 20480  YHOO @ 83.38 #+15145557665
Sell 16180  YHOO @ 86.24 #+15145557663
Sell 21930  YHOO @ 86.41 #+15145550516
Sell 28110  YHOO @ 85.16 #+15145558933
Sell 15360  YHOO @ 85.22 #+15145553002
Buy 16400  YHOO @ 84.71 #+15145555579
Buy 27780  YHOO @ 85.22 #+15145559785
Buy 28100  YHOO @ 84.86 #+15145553412
Sell 43940  YHOO @ 82.88 #+15145553211
Sell 32120  YHOO @ 83.47 #+15145557654
Sell 23000  YHOO @ 84.16 #+15145559742
Sell 31370  YHOO @ 84.61 #+15145558059
Sell 18160  YHOO @ 84.41 #+15145557045
Sell 19680  YHOO @ 85.02 #+15145557326
Sell 16780  YHOO @ 84.48 #+15145555417
Sell 26450  YHOO @ 84.88 #+15145558653
Sell 22850  YHOO @ 83.74 #+15145554445
Sell 17360  YHOO @ 84.67 #+15145556162
Buy 18900  YHOO @ 85.09 #+15145558027
Buy 36230  YHOO @ 83.06 #+15145557990
Buy 71680  YHOO @ 85.28 #+15145559304
Sell 39170  YHOO @ 85.8 #+15145557982
Buy 26970  YHOO @ 84.83 #+15145552598
Buy 51420  YHOO @ 85.02 #+15145550856
Sell 60020  YHOO @ 85.47 #+15145553143
Buy 41020  YHOO @ 86.2 #+15145559775
Buy 47510  YHOO @ 85.62 #+15145552502
Buy 22820  YHOO @ 82.63 #+15145550936
Buy 47730  YHOO @ 85.54 #+15145559042
Buy 45360  YHOO @ 82.39 #+15145555007
Sell 19920  YHOO @ 84.24 #+15145553305
Buy 25690  YHOO @ 83.71 #+15145553116
Buy 9220  YHOO @ 82.57 #+15145551428
Buy 20100  YHOO @ 83.2 #+15145551187
Buy 11990  YHOO @ 82.6 #+15145558690
Buy 16200  YHOO @ 84.28 #+15145554358
Sell 14900  YHOO @ 81.36 #+15145557468
Sell 23220  YHOO @ 82.89 #+15145559392
Sell 27480  YHOO @ 81.77 #+15145557218
Buy 32650  YHOO @ 79.7 #+15145551781
Buy 31870  YHOO @ 81.69 #+15145557037
Buy 18740  YHOO @ 85.59 #+15145552339
Sell 17870  YHOO @ 82.43 #+15145559937
Sell 12620  YHOO @ 82.46 #+15145558426
Sell 13750  YHOO @ 80.3 #+15145557219
Buy 18300  YHOO @ 84.78 #+15145551503
Buy 18960  YHOO @ 79.69 #+15145555447
Sell 23100  YHOO @ 81.61 #+15145559864
Sell 21730  YHOO @ 84.01 #+15145554604
Sell 33080  YHOO @ 79.45 #+15145553538
Buy 20750  YHOO @ 82.36 #+15145559169
Buy 30550  YHOO @ 83.17 #+15145556598
Buy 21410  YHOO @ 82.04 #+15145557515
Buy 22900  YHOO @ 81.47 #+15145552736
Sell 20610  YHOO @ 79.37 #+15145559901
Sell 20100  YHOO @ 77.26 #+15145551938
Buy 17230  YHOO @ 81 #+15145550022
Sell 14970  YHOO @ 80.93 #+15145556894
Buy 20120  YHOO @ 80.2 #+15145553838
Sell 19280  YHOO @ 80.22 #+15145552999
Sell 18340  YHOO @ 80.62 #+15145559435
Buy 10460  YHOO @ 80.25 #+15145557392
Buy 15400  YHOO @ 80.56 #+15145550780
Sell 13700  YHOO @ 79.71 #+15145556130
Buy 12730  YHOO @ 80.13 #+15145552029
Buy 21440  YHOO @ 79.36 #+15145554547
Sell 18920  YHOO @ 82.13 #+15145554985
Buy 24500  YHOO @ 79.62 #+15145555365
Sell 36510  YHOO @ 80.54 #+15145556235
Buy 16710  YHOO @ 79.1 #+15145558981
Buy 19850  YHOO @ 78.91 #+15145551403
Buy 20710  YHOO @ 78.4 #+15145552725
Sell 27660  YHOO @ 78.83 #+15145555046
Sell 24730  YHOO @ 74.9 #+15145551551
Sell 27550  YHOO @ 79.27 #+15145558501
Sell 29860  YHOO @ 79.51 #+15145553642
Sell 39660  YHOO @ 78.25 #+15145556181
Sell 30150  YHOO @ 78.48 #+15145557319
Buy 41700  YHOO @ 74.6 #+15145558106
Buy 43970  YHOO @ 81.09 #+15145553249
Sell 19680  YHOO @ 79.1 #+15145555646
Sell 25130  YHOO @ 79.53 #+15145552449
Buy 21850  YHOO @ 79.17 #+15145551739
Buy 14410  YHOO @ 80.39 #+15145553365
Buy 15180  YHOO @ 80.56 #+15145550858
Buy 18410  YHOO @ 79.96 #+15145558691
Buy 16710  YHOO @ 80.89 #+15145552078
Buy 16950  YHOO @ 80.3 #+15145559044
Sell 15670  YHOO @ 80.98 #+15145550641
Buy 16180  YHOO @ 78.64 #+15145553002
Sell 15470  YHOO @ 79.82 #+15145556738
Buy 31810  YHOO @ 77.91 #+15145555119
Sell 16420  YHOO @ 78.9 #+15145550203
Buy 11710  YHOO @ 79.83 #+15145556829
Buy 16580  YHOO @ 79.47 #+15145557898
Sell 9510  YHOO @ 77.68 #+15145558548
Buy 8180  YHOO @ 79.35 #+15145559128
Sell 13450  YHOO @ 80.12 #+15145551645
Sell 11500  YHOO @ 79.39 #+15145555764
Sell 4730  YHOO @ 79.31 #+15145557694
Sell 23580  YHOO @ 80.38 #+15145558454
Sell 10630  YHOO @ 79.14 #+15145551808
Sell 17800  YHOO @ 78.46 #+15145555174
Buy 30020  YHOO @ 78.64 #+15145558034
Buy 26150  YHOO @ 78.01 #+15145550819
Buy 20630  YHOO @ 74.51 #+15145550502
Buy 13270  YHOO @ 78.68 #+15145556182
Sell 18080  YHOO @ 77.65 #+15145550152
Sell 22600  YHOO @ 77.74 #+15145555765
Sell 18740  YHOO @ 77.78 #+15145553561
Sell 25390  YHOO @ 78.05 #+15145558741
Buy 31160  YHOO @ 76.99 #+15145556691
Buy 18030  YHOO @ 78.54 #+15145556574
Buy 17570  YHOO @ 77 #+15145554969
Buy 17190  YHOO @ 77.66 #+15145557979
Sell 17800  YHOO @ 76.69 #+15145553251
Buy 17090  YHOO @ 77.38 #+15145554754
Sell 17580  YHOO @ 72.88 #+15145554770
Sell 11450  YHOO @ 75.81 #+15145555338
Sell 21370  YHOO @ 74.61 #+15145554022
Buy 19770  YHOO @ 76.44 #+15145555097
Buy 24500  YHOO @ 76.35 #+15145557872
Sell 16120  YHOO @ 77.19 #+15145559006
Buy 26890  YHOO @ 76.33 #+15145556963
Buy 12770  YHOO @ 73.18 #+15145553413
Buy 22240  YHOO @ 80.57 #+15145552556
Buy 26120  YHOO @ 77.8 #+15145552881
Sell 26450  YHOO @ 75.76 #+15145559054
Buy 10210  YHOO @ 76.36 #+15145553287
Sell 16340  YHOO @ 76.56 #+15145556757
Sell 24090  YHOO @ 75.06 #+15145551035
Buy 14830  YHOO @ 77.44 #+15145556620
Sell 13560  YHOO @ 76.45 #+15145554911
Buy 27730  YHOO @ 75.63 #+15145557584
Buy 18690  YHOO @ 75.82 #+15145556343
Sell 17240  YHOO @ 73.71 #+15145550545
Buy 15250  YHOO @ 77.79 #+15145551600
Buy 22320  YHOO @ 76.05 #+15145559228
Sell 39140  YHOO @ 75.45 #+15145559687
Sell 25040  YHOO @ 75.91 #+15145553241
Sell 19910  YHOO @ 77.28 #+15145551558
Buy 21210  YHOO @ 76.73 #+15145554858
Sell 17760  YHOO @ 78.77 #+15145555816
Sell 16010  YHOO @ 76.98 #+15145554990
Buy 46200  YHOO @ 77.4 #+15145556447
Sell 38320  YHOO @ 77.35 #+15145555657
Sell 17870  YHOO @ 76.78 #+15145555105
Sell 20470  YHOO @ 76.72 #+15145550812
Buy 24330  YHOO @ 76.26 #+15145552789
Buy 17500  YHOO @ 75.89 #+15145553674
Buy 19490  YHOO @ 76.37 #+15145556787
Buy 16900  YHOO @ 76.13 #+15145559991
Sell 29010  YHOO @ 75.79 #+15145555176
Buy 27960  YHOO @ 76.33 #+15145551622
Buy 12450  YHOO @ 78.72 #+15145550102
Buy 21420  YHOO @ 76.94 #+15145552449
Sell 22220  YHOO @ 76.51 #+15145557672
Sell 32680  YHOO @ 72.4 #+15145552382
Sell 24870  YHOO @ 75.33 #+15145558919
Sell 39870  YHOO @ 76.41 #+15145552120
Sell 31600  YHOO @ 76.54 #+15145555710
Sell 26410  YHOO @ 75.5 #+15145558876
Buy 20700  YHOO @ 73 #+15145552658
Sell 26490  YHOO @ 77.07 #+15145555685
Sell 36810  YHOO @ 75.34 #+15145558116
Buy 30580  YHOO @ 74.99 #+15145557880
Buy 26820  YHOO @ 75.24 #+15145559324
Buy 86400  YHOO @ 75.38 #+15145555198
Sell 62010  YHOO @ 77.56 #+15145553958
Buy 53590  YHOO @ 73.64 #+15145555128
Buy 64660  YHOO @ 74.01 #+15145556181
Sell 19450  YHOO @ 77.78 #+15145555674
Buy 26860  YHOO @ 73.19 #+15145558227
Sell 49080  YHOO @ 73.53 #+15145551295
Buy 19090  YHOO @ 73.84 #+15145551238
Sell 17710  YHOO @ 72.67 #+15145557633
Sell 17000  YHOO @ 71.72 #+15145557933
Sell 14660  YHOO @ 72.54 #+15145559702
Sell 23590  YHOO @ 72.06 #+15145557499
Sell 30610  YHOO @ 74.58 #+15145556544
Buy 15420  YHOO @ 71.76 #+15145559932
Buy 33910  YHOO @ 72.14 #+15145557584
Buy 30410  YHOO @ 73.24 #+15145556807
Buy 15840  YHOO @ 72.02 #+15145558188
Buy 22850  YHOO @ 76.12 #+15145552672
Sell 26170  YHOO @ 71.45 #+15145554875
Sell 23530  YHOO @ 72.24 #+15145555738
Sell 15570  YHOO @ 72.45 #+15145556338
Buy 15500  YHOO @ 71.2 #+15145559570
