Sell 6820  BKNWA @ 99.75 #+15145557054  
Sell 15010  BKNWA @ 102.7 #+15145558866 
Sell 8270  BKNWA @ 102.21 #+15145558659 
Buy 1960  BKNWA @ 102.58 #+15145552132  
Buy 10030  BKNWA @ 101.5 #+15145553608  
Buy 9300  BKNWA @ 101.68 #+15145551023  
Sell 6850  BKNWA @ 100.76 #+15145555523 
Sell 5780  BKNWA @ 101.08 #+15145555424 
Sell 7990  BKNWA @ 101.76 #+15145558243 
Buy 3430  BKNWA @ 101.99 #+15145555450  
Buy 5400  BKNWA @ 101.95 #+15145558182  
Sell 15470  BKNWA @ 102.19 #+15145556026
Buy 16670  BKNWA @ 101.74 #+15145556563 
Sell 11710  BKNWA @ 102.35 #+15145556577
Sell 4280  BKNWA @ 102.26 #+15145557133 
Sell 7570  BKNWA @ 102.76 #+15145556873 
Buy 4010  BKNWA @ 103.04 #+15145554203  
Sell 6150  BKNWA @ 103.07 #+15145556611 
Buy 5090  BKNWA @ 103.04 #+15145555201  
Sell 14440  BKNWA @ 103.01 #+15145551563
Buy 12340  BKNWA @ 102.48 #+15145556511 
Buy 11650  BKNWA @ 101.74 #+15145554394 
Sell 9250  BKNWA @ 101.34 #+15145552778 
Buy 9210  BKNWA @ 101.23 #+15145553018  
Sell 7960  BKNWA @ 101.28 #+15145559857 
Buy 5400  BKNWA @ 101.72 #+15145557905  
Sell 11180  BKNWA @ 102.33 #+15145559973
Sell 11120  BKNWA @ 101.14 #+15145550372
Sell 18920  BKNWA @ 101.39 #+15145550525
Buy 10940  BKNWA @ 100.8 #+15145552156  
Sell 13020  BKNWA @ 100.99 #+15145559166
Buy 11020  BKNWA @ 100.88 #+15145557793 
Sell 12780  BKNWA @ 101.21 #+15145551056
Buy 13690  BKNWA @ 101.23 #+15145555344 
Buy 4340  BKNWA @ 101.56 #+15145553832  
Sell 6870  BKNWA @ 101.67 #+15145551960 
Sell 6850  BKNWA @ 101.42 #+15145554698 
Buy 12820  BKNWA @ 100.49 #+15145553834 
Sell 4970  BKNWA @ 100.25 #+15145558534 
Sell 5090  BKNWA @ 100.33 #+15145558160 
Sell 4870  BKNWA @ 100.95 #+15145551485 
Sell 10050  BKNWA @ 101.1 #+15145558485 
Sell 7260  BKNWA @ 101.03 #+15145555427 
Buy 5040  BKNWA @ 100.76 #+15145551533  
Buy 6410  BKNWA @ 100.56 #+15145552658  
Buy 13340  BKNWA @ 101 #+15145554800    
Buy 10880  BKNWA @ 101.46 #+15145550232 
Sell 12590  BKNWA @ 100.52 #+15145551075
Buy 11910  BKNWA @ 100.94 #+15145555813 
Sell 12030  BKNWA @ 100.58 #+15145554816
Buy 11690  BKNWA @ 100.6 #+15145555100  
Sell 7030  BKNWA @ 98.96 #+15145552126  
Buy 14210  BKNWA @ 98.58 #+15145558760  
Sell 6250  BKNWA @ 98.81 #+15145556311  
Buy 14700  BKNWA @ 98.23 #+15145557758  
Sell 7160  BKNWA @ 98.18 #+15145551079  
Buy 12240  BKNWA @ 98.23 #+15145553649  
Sell 7300  BKNWA @ 98.61 #+15145550516  
Sell 9060  BKNWA @ 98.61 #+15145552374  
Sell 9610  BKNWA @ 99.85 #+15145551696  
Buy 12200  BKNWA @ 98.83 #+15145556803  
Buy 17190  BKNWA @ 98.63 #+15145556871  
Buy 13750  BKNWA @ 98.82 #+15145553619  
Buy 14110  BKNWA @ 98.99 #+15145551139  
Buy 17080  BKNWA @ 98.51 #+15145559599  
Sell 19050  BKNWA @ 98.41 #+15145557452 
Sell 8810  BKNWA @ 98.49 #+15145553382  
Buy 5590  BKNWA @ 97.8 #+15145557967    
Sell 4560  BKNWA @ 98.45 #+15145557071  
Buy 12320  BKNWA @ 97.65 #+15145551571  
Sell 9380  BKNWA @ 97.81 #+15145554455  
Buy 11010  BKNWA @ 97.62 #+15145558940  
Buy 7630  BKNWA @ 98.78 #+15145552444   
Sell 8360  BKNWA @ 98.96 #+15145555598  
Buy 3820  BKNWA @ 98.74 #+15145558161   
Buy 5960  BKNWA @ 98.92 #+15145553569   
Buy 2710  BKNWA @ 98.29 #+15145555145   
Buy 6730  BKNWA @ 97.15 #+15145555698   
Sell 10720  BKNWA @ 97.18 #+15145554769 
Sell 8620  BKNWA @ 97.57 #+15145559507  
Buy 11440  BKNWA @ 97.28 #+15145559363  
Sell 13460  BKNWA @ 97.77 #+15145556969 
Sell 14410  BKNWA @ 98.56 #+15145556676 
Sell 14250  BKNWA @ 98.81 #+15145551154 
Buy 8970  BKNWA @ 99.53 #+15145554919   
Buy 6810  BKNWA @ 99.86 #+15145556686   
Buy 4720  BKNWA @ 99.56 #+15145552874   
Sell 10550  BKNWA @ 99.05 #+15145555879 
Buy 6870  BKNWA @ 100.11 #+15145556635  
Buy 6930  BKNWA @ 99.89 #+15145553988   
Buy 9530  BKNWA @ 98.97 #+15145556796   
Sell 4430  BKNWA @ 98.95 #+15145554833  
Sell 12910  BKNWA @ 97.79 #+15145550623 
Sell 20890  BKNWA @ 97.91 #+15145558195 
Buy 13220  BKNWA @ 98.47 #+15145559507  
Buy 14840  BKNWA @ 98.49 #+15145558066  
Buy 13200  BKNWA @ 97.56 #+15145550025  
Buy 9770  BKNWA @ 97.83 #+15145557818   
Buy 9180  BKNWA @ 97.27 #+15145552232   
Buy 7290  BKNWA @ 97.92 #+15145557863   
Sell 13580  BKNWA @ 98.49 #+15145552777 
Sell 13390  BKNWA @ 97.94 #+15145557151 
Buy 7960  BKNWA @ 97.56 #+15145558612   
Sell 10360  BKNWA @ 97.98 #+15145556177 
Buy 4740  BKNWA @ 97.94 #+15145559067   
Sell 7480  BKNWA @ 97.6 #+15145555656   
Sell 12130  BKNWA @ 97.95 #+15145550884 
Buy 9220  BKNWA @ 98.37 #+15145554460   
Buy 5410  BKNWA @ 97.81 #+15145551089   
Sell 14600  BKNWA @ 97.64 #+15145556676 
Sell 12660  BKNWA @ 97.27 #+15145553990 
Sell 7680  BKNWA @ 97.71 #+15145553428  
Buy 19810  BKNWA @ 96.83 #+15145555235  
Sell 14220  BKNWA @ 97.65 #+15145558723 
Sell 14380  BKNWA @ 96.87 #+15145558430 
Sell 9660  BKNWA @ 96.25 #+15145555815  
Buy 12210  BKNWA @ 96.92 #+15145558387  
Buy 13120  BKNWA @ 96.22 #+15145558899  
Buy 4570  BKNWA @ 96.38 #+15145559057   
Sell 9360  BKNWA @ 97.04 #+15145552035  
Sell 6600  BKNWA @ 97.51 #+15145550260  
Sell 4690  BKNWA @ 97.08 #+15145559828  
Buy 15730  BKNWA @ 97.82 #+15145559475  
Buy 6130  BKNWA @ 97.85 #+15145550731   
Sell 15700  BKNWA @ 97.08 #+15145554463 
Buy 13960  BKNWA @ 97.18 #+15145559772  
Buy 14090  BKNWA @ 97.27 #+15145555493  
Sell 5080  BKNWA @ 97.12 #+15145552565  
Buy 11450  BKNWA @ 97.28 #+15145559711  
Sell 9290  BKNWA @ 96.84 #+15145553169  
Sell 12470  BKNWA @ 96.26 #+15145556415 
Buy 12600  BKNWA @ 97.11 #+15145551309  
Buy 17930  BKNWA @ 97.26 #+15145553507  
Buy 6660  BKNWA @ 96.92 #+15145554682   
Sell 12640  BKNWA @ 96.4 #+15145556323  
Sell 14870  BKNWA @ 95.92 #+15145550927 
Sell 8890  BKNWA @ 96.02 #+15145551046  
Sell 13710  BKNWA @ 95.99 #+15145554400 
Sell 11980  BKNWA @ 96.58 #+15145550060 
Sell 10660  BKNWA @ 96.25 #+15145553904 
Sell 12910  BKNWA @ 96.82 #+15145554299 
Sell 8200  BKNWA @ 97.03 #+15145554442  
Buy 5980  BKNWA @ 97.19 #+15145550986   
Buy 11380  BKNWA @ 98.55 #+15145554496  
Sell 15170  BKNWA @ 97.15 #+15145558104 
Sell 14470  BKNWA @ 97.15 #+15145550700 
Sell 11400  BKNWA @ 97.24 #+15145555060 
Sell 16490  BKNWA @ 98.56 #+15145557422 
Buy 9830  BKNWA @ 98.9 #+15145554058    
Buy 27010  BKNWA @ 98.1 #+15145551098   
Sell 16590  BKNWA @ 97.17 #+15145557011 
Sell 13780  BKNWA @ 97.51 #+15145552167 
Buy 27070  BKNWA @ 97.85 #+15145551780  
Sell 18910  BKNWA @ 98.71 #+15145556798 
Sell 15240  BKNWA @ 98.74 #+15145554864 
Buy 15010  BKNWA @ 98.64 #+15145556554  
Buy 14170  BKNWA @ 98.03 #+15145558641  
Sell 16290  BKNWA @ 97.69 #+15145557444 
Sell 7150  BKNWA @ 96.59 #+15145550708  
Buy 13900  BKNWA @ 96.15 #+15145559272  
Sell 10170  BKNWA @ 96.16 #+15145555895 
Sell 12140  BKNWA @ 96.37 #+15145553905 
Sell 20850  BKNWA @ 96.52 #+15145558131 
Buy 22920  BKNWA @ 96.78 #+15145551943  
Sell 18440  BKNWA @ 96.96 #+15145558109 
Buy 16120  BKNWA @ 96.82 #+15145550493  
Buy 10920  BKNWA @ 96.58 #+15145551871  
Sell 5750  BKNWA @ 98.09 #+15145554769  
Buy 14110  BKNWA @ 97.95 #+15145551026  
Sell 4880  BKNWA @ 97.36 #+15145553517  
Buy 7330  BKNWA @ 97.57 #+15145553626   
Sell 9490  BKNWA @ 97.6 #+15145551653   
Sell 12140  BKNWA @ 97.9 #+15145550039  
Sell 8350  BKNWA @ 98.75 #+15145550900  
Buy 10480  BKNWA @ 97.95 #+15145557148  
Sell 4800  BKNWA @ 97.72 #+15145558867  
Sell 4210  BKNWA @ 97.59 #+15145554094  
Buy 5260  BKNWA @ 98.04 #+15145559251   
Sell 12750  BKNWA @ 97.44 #+15145551619 
Buy 5680  BKNWA @ 98.4 #+15145559850    
Sell 9480  BKNWA @ 98 #+15145556766     
Sell 8830  BKNWA @ 98.47 #+15145554259  
Sell 9530  BKNWA @ 98.63 #+15145559020  
Buy 16120  BKNWA @ 97.83 #+15145555536  
Sell 10710  BKNWA @ 98.16 #+15145556581 
Sell 12880  BKNWA @ 98.38 #+15145552748 
Buy 19940  BKNWA @ 98.2 #+15145559188   
Buy 15130  BKNWA @ 98.55 #+15145551593  
Sell 17220  BKNWA @ 98.91 #+15145555044 
Buy 14520  BKNWA @ 97.88 #+15145554852  
Sell 16220  BKNWA @ 96.37 #+15145551968 
Buy 10620  BKNWA @ 96.37 #+15145558735  
Sell 7040  BKNWA @ 95.65 #+15145557054  
Sell 11130  BKNWA @ 95.19 #+15145556822 
Sell 10030  BKNWA @ 95.59 #+15145559021 
Sell 17520  BKNWA @ 95.33 #+15145559996 
Buy 7020  BKNWA @ 95.55 #+15145556840   
Buy 11920  BKNWA @ 95.34 #+15145556058  
Buy 8820  BKNWA @ 95.45 #+15145552204   
Sell 13340  BKNWA @ 95.4 #+15145553336  
Buy 8380  BKNWA @ 94.95 #+15145557873   
Buy 9780  BKNWA @ 95.41 #+15145553451   
Buy 11650  BKNWA @ 96.32 #+15145556602  
Sell 15950  BKNWA @ 97.39 #+15145552394 
Sell 21620  BKNWA @ 96.8 #+15145552745  
Sell 27340  BKNWA @ 96.68 #+15145552649 
Sell 9640  BKNWA @ 96.51 #+15145557496  
Buy 9160  BKNWA @ 95.85 #+15145552340   
Buy 10280  BKNWA @ 95.47 #+15145553067  
Sell 26590  BKNWA @ 95.01 #+15145556891 
Sell 15430  BKNWA @ 95.87 #+15145555287 
Sell 9770  BKNWA @ 95.95 #+15145551271  
Buy 26650  BKNWA @ 95.39 #+15145553519  
Sell 19910  BKNWA @ 95.37 #+15145552457 
Sell 18490  BKNWA @ 96.34 #+15145552886 
Sell 16910  BKNWA @ 96.77 #+15145551075 
Sell 14360  BKNWA @ 96.56 #+15145552165 
Buy 16300  BKNWA @ 97.79 #+15145550206  
Sell 13070  BKNWA @ 97.75 #+15145553668 
Sell 28570  BKNWA @ 97.77 #+15145558732 
Sell 13340  BKNWA @ 99.42 #+15145557128 
Buy 15830  BKNWA @ 99.75 #+15145559622  
Buy 11630  BKNWA @ 99.47 #+15145558409  
Sell 8290  BKNWA @ 100.68 #+15145559663 
Sell 7380  BKNWA @ 100.61 #+15145559407 
Sell 13500  BKNWA @ 101.82 #+15145558013
Buy 14530  BKNWA @ 102.23 #+15145554429 
Sell 22280  BKNWA @ 103.26 #+15145551011
Sell 28890  BKNWA @ 103.52 #+15145559152
Buy 15320  BKNWA @ 104.61 #+15145551847 
Sell 9520  BKNWA @ 104.78 #+15145556935 
Buy 9700  BKNWA @ 105.86 #+15145557503  
Buy 8760  BKNWA @ 106.14 #+15145557438  
Sell 12340  BKNWA @ 106.06 #+15145550267
Buy 12880  BKNWA @ 105.19 #+15145554305 
Buy 11130  BKNWA @ 105.42 #+15145552037 
Sell 13250  BKNWA @ 104.95 #+15145550943
Sell 7260  BKNWA @ 104.24 #+15145551945 
Buy 14420  BKNWA @ 104.39 #+15145558677 
Buy 12650  BKNWA @ 103.09 #+15145553284 
Buy 10470  BKNWA @ 102.33 #+15145550749 
Buy 24230  BKNWA @ 101.94 #+15145555377 
Sell 9990  BKNWA @ 101.59 #+15145552969 
Buy 18490  BKNWA @ 100.7 #+15145559717  
Sell 8690  BKNWA @ 101.53 #+15145559546 
Sell 11240  BKNWA @ 100.69 #+15145555255
Sell 12540  BKNWA @ 101.27 #+15145557758
Buy 7010  BKNWA @ 102.59 #+15145552478  
Sell 6300  BKNWA @ 101.63 #+15145554585 
Sell 8370  BKNWA @ 102.2 #+15145551077  
Sell 13630  BKNWA @ 101.5 #+15145559328 
Sell 12100  BKNWA @ 101.37 #+15145550975
Sell 8910  BKNWA @ 102.39 #+15145550362 
Buy 5270  BKNWA @ 101.39 #+15145555835  
Sell 5800  BKNWA @ 100.72 #+15145557442 
Sell 6670  BKNWA @ 100.25 #+15145554678 
Sell 15170  BKNWA @ 100.89 #+15145550046
Buy 19310  BKNWA @ 100.48 #+15145555511 
Buy 22610  BKNWA @ 100.53 #+15145553500 
Sell 8970  BKNWA @ 100.86 #+15145551728 
Buy 7940  BKNWA @ 100.18 #+15145552929  
Sell 13970  BKNWA @ 101.1 #+15145554407 
Buy 9790  BKNWA @ 101.01 #+15145553287  
Buy 10420  BKNWA @ 101.78 #+15145559836 
Sell 4650  BKNWA @ 102.05 #+15145556283 
Buy 7020  BKNWA @ 102.95 #+15145558917  
Buy 11620  BKNWA @ 103.51 #+15145552690 
Sell 18950  BKNWA @ 102.86 #+15145558061
Buy 11350  BKNWA @ 102.28 #+15145552015 
Sell 3880  BKNWA @ 102.01 #+15145559395 
Sell 5910  BKNWA @ 101.85 #+15145559710 
Sell 5610  BKNWA @ 101.66 #+15145551988 
Buy 13490  BKNWA @ 101.19 #+15145550103 
Sell 18390  BKNWA @ 103.07 #+15145550237
Buy 8300  BKNWA @ 101.98 #+15145550928  
Buy 14110  BKNWA @ 101.16 #+15145558750 
Sell 18420  BKNWA @ 101.72 #+15145553112
Sell 10140  BKNWA @ 102.16 #+15145555805
Buy 10430  BKNWA @ 102.63 #+15145551675 
Sell 16020  BKNWA @ 101.46 #+15145552167
Buy 9830  BKNWA @ 101.23 #+15145556231  
Sell 8440  BKNWA @ 101.2 #+15145550060  
Sell 11850  BKNWA @ 101.89 #+15145550442
Buy 16390  BKNWA @ 101.7 #+15145556272  
Sell 7250  BKNWA @ 101.82 #+15145552132 
Buy 13530  BKNWA @ 103.12 #+15145556665 
Buy 14300  BKNWA @ 103.33 #+15145552663 
Buy 14420  BKNWA @ 103.3 #+15145555273  
Sell 16400  BKNWA @ 102.95 #+15145553475
Sell 9710  BKNWA @ 103.45 #+15145558944 
Buy 19280  BKNWA @ 103.86 #+15145554948 
Sell 16810  BKNWA @ 103.19 #+15145556528
Sell 15280  BKNWA @ 103.51 #+15145556888
Sell 15700  BKNWA @ 104.84 #+15145551574
Buy 6590  BKNWA @ 104.03 #+15145559493  
Sell 15950  BKNWA @ 104.37 #+15145559338
Buy 13770  BKNWA @ 103.99 #+15145556551 
Buy 7210  BKNWA @ 104.04 #+15145553110  
Buy 8830  BKNWA @ 103.92 #+15145556296  
Buy 10440  BKNWA @ 103.4 #+15145554626  
Buy 6840  BKNWA @ 103.73 #+15145550707  
Sell 9890  BKNWA @ 104.09 #+15145559026 
Buy 5170  BKNWA @ 103.78 #+15145555122  
Sell 12070  BKNWA @ 104.19 #+15145555379
Buy 6320  BKNWA @ 104.13 #+15145554629  
Sell 11060  BKNWA @ 102.89 #+15145558527
Buy 13840  BKNWA @ 102.97 #+15145551470 
Buy 15560  BKNWA @ 103.29 #+15145558640 
Buy 18310  BKNWA @ 102.96 #+15145554679 
Buy 19320  BKNWA @ 101.62 #+15145552223 
Buy 11030  BKNWA @ 100.61 #+15145550249 
Buy 11270  BKNWA @ 101.29 #+15145557382 
Sell 13870  BKNWA @ 100.78 #+15145558659
Buy 10250  BKNWA @ 100.52 #+15145555191 
Sell 12570  BKNWA @ 100.28 #+15145550013
Buy 6830  BKNWA @ 100.5 #+15145552090   
Sell 12870  BKNWA @ 100.36 #+15145554586
Buy 10510  BKNWA @ 100.96 #+15145559194 
Buy 8360  BKNWA @ 100.22 #+15145555805  
Buy 8290  BKNWA @ 101.37 #+15145551131  
Buy 9540  BKNWA @ 100.87 #+15145554123  
Sell 11520  BKNWA @ 101.78 #+15145557419
Sell 7330  BKNWA @ 102.36 #+15145551539 
Sell 8420  BKNWA @ 101.63 #+15145553238 
Buy 13800  BKNWA @ 101.72 #+15145551845 
Buy 14340  BKNWA @ 101.56 #+15145556187 
Buy 14410  BKNWA @ 101.41 #+15145557054 
Sell 7940  BKNWA @ 101.45 #+15145558619 
Sell 8700  BKNWA @ 101.16 #+15145555101 
Buy 12650  BKNWA @ 101.75 #+15145554134 
Sell 11680  BKNWA @ 100.57 #+15145556570
Sell 10020  BKNWA @ 100.75 #+15145559666
Sell 7860  BKNWA @ 100.98 #+15145559914 
Buy 14930  BKNWA @ 101.54 #+15145550884 
Sell 9450  BKNWA @ 100.91 #+15145550152 
Sell 11240  BKNWA @ 101.01 #+15145559437
Buy 9040  BKNWA @ 101.09 #+15145559577  
Buy 18370  BKNWA @ 101.13 #+15145551304 
Buy 7800  BKNWA @ 102.29 #+15145550661  
Buy 9940  BKNWA @ 101.79 #+15145552148  
Buy 11160  BKNWA @ 101.69 #+15145558050 
Buy 6570  BKNWA @ 101.35 #+15145554055  
Sell 12430  BKNWA @ 100.06 #+15145553167
Buy 14390  BKNWA @ 100.05 #+15145551183 
Sell 17390  BKNWA @ 99.45 #+15145551906 
Sell 16350  BKNWA @ 99.37 #+15145556539 
Buy 23530  BKNWA @ 99.94 #+15145554737  
Sell 20770  BKNWA @ 99.91 #+15145552051 
Sell 18560  BKNWA @ 100.18 #+15145554368
Sell 5730  BKNWA @ 100.24 #+15145556045 
Sell 7180  BKNWA @ 101.09 #+15145559422 
Buy 13610  BKNWA @ 100.43 #+15145555751 
Buy 10020  BKNWA @ 100.56 #+15145555681 
Buy 11080  BKNWA @ 100.85 #+15145551057 
Buy 13350  BKNWA @ 101 #+15145558705    
Buy 10760  BKNWA @ 100.68 #+15145550573 
Sell 9330  BKNWA @ 100.42 #+15145552711 
Buy 11990  BKNWA @ 101.15 #+15145554011 
Buy 13780  BKNWA @ 101.77 #+15145552947 
Sell 9680  BKNWA @ 101.95 #+15145554848 
Sell 13260  BKNWA @ 101.81 #+15145558053
Sell 14150  BKNWA @ 101.39 #+15145554225
Buy 12930  BKNWA @ 101.86 #+15145551671 
Sell 10690  BKNWA @ 102.07 #+15145554086
Buy 8250  BKNWA @ 102.56 #+15145557162  
Sell 7910  BKNWA @ 102.56 #+15145558772 
Buy 5370  BKNWA @ 103.6 #+15145555485   
Sell 6850  BKNWA @ 103.55 #+15145555557 
Sell 12170  BKNWA @ 104.01 #+15145553741
Buy 8440  BKNWA @ 103.68 #+15145556687  
Sell 9250  BKNWA @ 105.35 #+15145559907 
Buy 8280  BKNWA @ 105.11 #+15145559930  
Sell 18350  BKNWA @ 104.61 #+15145555389
Buy 18740  BKNWA @ 104.42 #+15145551637 
Sell 13850  BKNWA @ 102.49 #+15145553633
Buy 10150  BKNWA @ 102.3 #+15145550507  
Buy 8930  BKNWA @ 102.21 #+15145557717  
Buy 13760  BKNWA @ 103.12 #+15145555853 
Buy 14110  BKNWA @ 103.89 #+15145552074 
Buy 7810  BKNWA @ 104.34 #+15145551238  
Sell 8400  BKNWA @ 104.76 #+15145556302 
Sell 8800  BKNWA @ 105.48 #+15145555745 
Sell 10870  BKNWA @ 104.82 #+15145551626
Sell 14880  BKNWA @ 104.62 #+15145551269
Buy 17700  BKNWA @ 104.31 #+15145551616 
Buy 9530  BKNWA @ 105.39 #+15145553246  
Buy 15770  BKNWA @ 105.66 #+15145554648 
Sell 7050  BKNWA @ 106.61 #+15145556127 
Sell 14460  BKNWA @ 106.76 #+15145550661
Buy 9380  BKNWA @ 106.57 #+15145557681  
Buy 15900  BKNWA @ 106.95 #+15145551753 
Buy 13100  BKNWA @ 106.57 #+15145556665 
Sell 11240  BKNWA @ 105.67 #+15145559989
Sell 12830  BKNWA @ 104.5 #+15145551783 
Buy 15140  BKNWA @ 105.62 #+15145554414 
Sell 23150  BKNWA @ 107.23 #+15145553726
Buy 13350  BKNWA @ 107.33 #+15145551645 
Sell 18650  BKNWA @ 107.33 #+15145556883
Buy 8920  BKNWA @ 107.02 #+15145551882  
Sell 18050  BKNWA @ 106.1 #+15145551568 
Sell 18250  BKNWA @ 106.71 #+15145554617
Buy 14750  BKNWA @ 106.88 #+15145551879 
Sell 12910  BKNWA @ 106.8 #+15145553688 
Sell 15050  BKNWA @ 107.13 #+15145557477
Buy 23220  BKNWA @ 106.49 #+15145552852 
Sell 30510  BKNWA @ 106.63 #+15145554135
Sell 20430  BKNWA @ 107.13 #+15145558269
Sell 24490  BKNWA @ 108.36 #+15145552101
Buy 20540  BKNWA @ 108.21 #+15145552643 
Sell 25570  BKNWA @ 108.64 #+15145552754
Buy 18140  BKNWA @ 110.01 #+15145557042 
Sell 17990  BKNWA @ 109.89 #+15145556460
Buy 11450  BKNWA @ 109.09 #+15145556098 
Sell 31760  BKNWA @ 108.53 #+15145555884
Sell 13320  BKNWA @ 108.51 #+15145557425
Buy 9780  BKNWA @ 109.34 #+15145552930  
Buy 17770  BKNWA @ 109.6 #+15145556929  
Buy 16260  BKNWA @ 110.34 #+15145553295 
Buy 9660  BKNWA @ 109.51 #+15145552247  
Sell 16810  BKNWA @ 107.91 #+15145557066
Sell 14090  BKNWA @ 108.32 #+15145555900
Buy 17490  BKNWA @ 107.35 #+15145553261 
Buy 13880  BKNWA @ 108.27 #+15145552831 
Sell 16940  BKNWA @ 109.6 #+15145554902 
Buy 17000  BKNWA @ 108.51 #+15145559725 
Sell 16150  BKNWA @ 108.29 #+15145555350
Buy 8540  BKNWA @ 107.86 #+15145558438  
Buy 15280  BKNWA @ 108.16 #+15145557606 
Buy 21800  BKNWA @ 107.13 #+15145551667 
Buy 17290  BKNWA @ 107.04 #+15145556202 
Sell 19500  BKNWA @ 105.74 #+15145556811
Buy 21700  BKNWA @ 105.27 #+15145558057 
Sell 26810  BKNWA @ 104.35 #+15145550173
Buy 20000  BKNWA @ 103.99 #+15145554817 
Sell 17460  BKNWA @ 104.04 #+15145553773
Sell 21110  BKNWA @ 104.9 #+15145559947 
Buy 31640  BKNWA @ 106.67 #+15145557371 
Sell 21340  BKNWA @ 106.46 #+15145558792
Sell 31200  BKNWA @ 106.78 #+15145552520
Sell 30720  BKNWA @ 105.73 #+15145552814
Sell 25650  BKNWA @ 105.56 #+15145558093
Buy 21050  BKNWA @ 105.71 #+15145554715 
Sell 9650  BKNWA @ 105.97 #+15145559345 
Sell 23810  BKNWA @ 105.97 #+15145555924
Buy 21640  BKNWA @ 105.81 #+15145550326 
Buy 18830  BKNWA @ 105.7 #+15145551361  
Sell 22540  BKNWA @ 104.78 #+15145559444
Sell 27870  BKNWA @ 103.71 #+15145555106
Buy 19500  BKNWA @ 103.53 #+15145554185 
Buy 13650  BKNWA @ 104.19 #+15145559187 
Sell 27390  BKNWA @ 104.23 #+15145557749
Sell 24750  BKNWA @ 103.74 #+15145559143
Sell 38230  BKNWA @ 103.47 #+15145556945
Buy 20940  BKNWA @ 103.98 #+15145550045 
Sell 15030  BKNWA @ 103.92 #+15145551031
Buy 35680  BKNWA @ 103.64 #+15145551790 
Buy 41510  BKNWA @ 103.22 #+15145555670 
Sell 22500  BKNWA @ 103.15 #+15145559042
Sell 34720  BKNWA @ 103.02 #+15145556955
Buy 43180  BKNWA @ 103.04 #+15145556777 
Buy 27190  BKNWA @ 103.94 #+15145550257 
Buy 31930  BKNWA @ 103.75 #+15145552507 
Sell 29180  BKNWA @ 103.94 #+15145550282
Sell 10180  BKNWA @ 103.47 #+15145552082
Sell 17400  BKNWA @ 104 #+15145559228   
Buy 14410  BKNWA @ 104.06 #+15145559939 
Sell 14170  BKNWA @ 104.58 #+15145550635
Sell 15230  BKNWA @ 105.87 #+15145556210
Sell 22970  BKNWA @ 105.99 #+15145553829
Buy 21040  BKNWA @ 105.46 #+15145553875 
Sell 18810  BKNWA @ 105.25 #+15145554020
Buy 12910  BKNWA @ 104.43 #+15145550600 
Buy 26460  BKNWA @ 104.51 #+15145554106 
Sell 20190  BKNWA @ 105.82 #+15145553820
Buy 25820  BKNWA @ 106.3 #+15145559968  
Buy 30550  BKNWA @ 105.68 #+15145550227 
Buy 26150  BKNWA @ 106.18 #+15145551808 
Buy 20100  BKNWA @ 105.63 #+15145557726 
Buy 37810  BKNWA @ 105.15 #+15145551592 
Buy 22470  BKNWA @ 107.24 #+15145557021 
Buy 30440  BKNWA @ 105.94 #+15145553315 
Sell 36040  BKNWA @ 106.4 #+15145553430 
Sell 26070  BKNWA @ 104.94 #+15145554923
Sell 9090  BKNWA @ 105.5 #+15145551660  
