Sell 16800  AGOG @ 99.79 #+15145555329
Buy 23560  AGOG @ 101.1 #+15145557639
Buy 41820  AGOG @ 100.5 #+15145558349
Buy 31390  AGOG @ 100.77 #+15145551015
Buy 14500  AGOG @ 99.29 #+15145556916
Sell 15380  AGOG @ 100 #+15145551280
Buy 15430  AGOG @ 99.79 #+15145556651
Buy 17770  AGOG @ 97.64 #+15145558690
Buy 17930  AGOG @ 97.42 #+15145555417
Buy 16040  AGOG @ 99.28 #+15145556890
Sell 19120  AGOG @ 99.48 #+15145556367
Buy 33310  AGOG @ 99.4 #+15145552479
Buy 21100  AGOG @ 96.5 #+15145552189
Buy 26930  AGOG @ 99.16 #+15145552183
Buy 22910  AGOG @ 97.18 #+15145557819
Sell 24730  AGOG @ 98.93 #+15145550539
Sell 39060  AGOG @ 95.68 #+15145557382
Buy 49690  AGOG @ 97.8 #+15145558101
Buy 26670  AGOG @ 97.52 #+15145558662
Sell 23370  AGOG @ 98.05 #+15145557280
Buy 23360  AGOG @ 98.15 #+15145554915
Sell 14620  AGOG @ 98.1 #+15145557498
Buy 17130  AGOG @ 98.06 #+15145555724
Buy 21390  AGOG @ 97.9 #+15145557318
Sell 13590  AGOG @ 98 #+15145553064
Sell 15960  AGOG @ 98.15 #+15145558665
Sell 15060  AGOG @ 97.81 #+15145556750
Buy 14610  AGOG @ 97.49 #+15145551446
Sell 16170  AGOG @ 97.74 #+15145551411
Sell 19860  AGOG @ 96.95 #+15145550095
Sell 30650  AGOG @ 97.87 #+15145556947
Buy 23440  AGOG @ 99.98 #+15145558414
Sell 11090  AGOG @ 96.8 #+15145559925
Buy 17680  AGOG @ 98.05 #+15145556751
Sell 7750  AGOG @ 97.29 #+15145555804
Sell 8310  AGOG @ 96.89 #+15145552665
Sell 7660  AGOG @ 96.49 #+15145551642
Buy 8380  AGOG @ 97.07 #+15145552525
Buy 7490  AGOG @ 96.76 #+15145554864
Sell 8880  AGOG @ 97.14 #+15145559667
Sell 6760  AGOG @ 96.41 #+15145550943
Sell 11390  AGOG @ 96.71 #+15145558432
Buy 17560  AGOG @ 96.69 #+15145555404
Buy 24890  AGOG @ 97.96 #+15145551016
Buy 12940  AGOG @ 95.97 #+15145554842
Buy 10940  AGOG @ 96.32 #+15145550467
Buy 11420  AGOG @ 93.81 #+15145555071
Sell 12750  AGOG @ 96.24 #+15145554902
Sell 8980  AGOG @ 95.1 #+15145554805
Buy 8670  AGOG @ 97.72 #+15145555197
Buy 21770  AGOG @ 97.51 #+15145553035
Sell 29050  AGOG @ 95.82 #+15145556966
Sell 12060  AGOG @ 96.31 #+15145551792
Buy 9220  AGOG @ 95.43 #+15145553384
Buy 13160  AGOG @ 93.57 #+15145557831
Buy 17430  AGOG @ 95.3 #+15145554333
Sell 24980  AGOG @ 95.12 #+15145557923
Sell 14650  AGOG @ 94.61 #+15145553389
Buy 4950  AGOG @ 94.82 #+15145550090
Buy 11560  AGOG @ 96.04 #+15145555489
Buy 22430  AGOG @ 98.19 #+15145553685
Buy 14310  AGOG @ 94.79 #+15145556526
Sell 24030  AGOG @ 92.21 #+15145555631
Buy 46500  AGOG @ 95.13 #+15145559980
Sell 10300  AGOG @ 95.39 #+15145550281
Buy 23480  AGOG @ 94.1 #+15145557051
Sell 18930  AGOG @ 94.13 #+15145551799
Buy 17700  AGOG @ 94.63 #+15145554108
Sell 15310  AGOG @ 94.52 #+15145552380
Buy 17010  AGOG @ 92.14 #+15145557564
Sell 56210  AGOG @ 93.83 #+15145550050
Buy 15560  AGOG @ 95.54 #+15145551876
Sell 13410  AGOG @ 93.74 #+15145551302
Buy 26480  AGOG @ 93.89 #+15145557531
Sell 17320  AGOG @ 94.86 #+15145552122
Buy 9960  AGOG @ 93.59 #+15145554542
Buy 14360  AGOG @ 90.22 #+15145559125
Sell 16010  AGOG @ 93.4 #+15145550025
Sell 12680  AGOG @ 95.77 #+15145550899
Buy 13760  AGOG @ 93.48 #+15145550156
Sell 22340  AGOG @ 91.3 #+15145554199
Sell 17250  AGOG @ 93.58 #+15145558981
Sell 24260  AGOG @ 94.35 #+15145556822
Sell 26930  AGOG @ 93.38 #+15145558639
Sell 37790  AGOG @ 92.52 #+15145556088
Sell 32670  AGOG @ 93.8 #+15145555686
Buy 35870  AGOG @ 92.31 #+15145556845
Sell 58480  AGOG @ 92.72 #+15145558478
Buy 123440  AGOG @ 92.56 #+15145556983
Sell 50770  AGOG @ 92.26 #+15145552642
Sell 12460  AGOG @ 91.95 #+15145558123
Buy 8340  AGOG @ 92.77 #+15145558750
Sell 16100  AGOG @ 90.51 #+15145559146
Buy 18060  AGOG @ 87.75 #+15145551948
Buy 20290  AGOG @ 90.18 #+15145554286
Buy 23980  AGOG @ 90.21 #+15145554326
Sell 20550  AGOG @ 88.25 #+15145558428
Buy 16090  AGOG @ 89.86 #+15145559059
Sell 20370  AGOG @ 89.92 #+15145556705
Buy 24470  AGOG @ 88.28 #+15145558366
Buy 16070  AGOG @ 89.94 #+15145553996
Sell 20670  AGOG @ 88.74 #+15145557128
Sell 24150  AGOG @ 93.26 #+15145558829
Sell 16930  AGOG @ 89.78 #+15145554379
Sell 18560  AGOG @ 89.35 #+15145552701
Buy 32040  AGOG @ 89.27 #+15145559692
Sell 26230  AGOG @ 93.31 #+15145557915
Buy 79560  AGOG @ 89.61 #+15145552199
Buy 27280  AGOG @ 88.51 #+15145559707
Buy 90030  AGOG @ 90.48 #+15145551527
Buy 23060  AGOG @ 89.02 #+15145550058
Sell 24260  AGOG @ 87.44 #+15145552348
Sell 18590  AGOG @ 87.18 #+15145554244
Buy 17730  AGOG @ 89.04 #+15145557403
Sell 12100  AGOG @ 88.61 #+15145553768
Buy 10240  AGOG @ 87.76 #+15145557329
Buy 12470  AGOG @ 87.83 #+15145553713
Buy 18190  AGOG @ 88.17 #+15145552143
Buy 24610  AGOG @ 87.44 #+15145552337
Sell 16480  AGOG @ 91.98 #+15145555333
Sell 7120  AGOG @ 84.88 #+15145551405
Buy 12700  AGOG @ 87.11 #+15145553314
Sell 14600  AGOG @ 87.32 #+15145558375
Buy 15550  AGOG @ 85.32 #+15145553705
Sell 13420  AGOG @ 87.32 #+15145552346
Sell 12290  AGOG @ 87.02 #+15145552585
Buy 17190  AGOG @ 84.98 #+15145559256
Sell 14100  AGOG @ 87.28 #+15145557589
Sell 15530  AGOG @ 86.66 #+15145556371
Buy 13290  AGOG @ 87.48 #+15145557407
Buy 11410  AGOG @ 87.21 #+15145557410
Sell 7840  AGOG @ 86.98 #+15145551722
Buy 11650  AGOG @ 82.56 #+15145557505
Buy 13230  AGOG @ 86.97 #+15145554190
Buy 9650  AGOG @ 88.47 #+15145552861
Buy 12200  AGOG @ 87.26 #+15145553195
Sell 13390  AGOG @ 87.73 #+15145553251
Sell 13070  AGOG @ 89.68 #+15145556809
Buy 14290  AGOG @ 86.7 #+15145553191
Sell 14090  AGOG @ 86.79 #+15145550156
Sell 14160  AGOG @ 86.59 #+15145556519
Buy 18380  AGOG @ 86.46 #+15145556381
Buy 16700  AGOG @ 86.25 #+15145555604
Sell 13520  AGOG @ 85.82 #+15145554592
Buy 20970  AGOG @ 85.89 #+15145556861
Sell 23240  AGOG @ 87.29 #+15145559828
Sell 34310  AGOG @ 86.44 #+15145551418
Sell 42670  AGOG @ 86.09 #+15145557410
Buy 78030  AGOG @ 87.62 #+15145550133
Buy 29570  AGOG @ 85.18 #+15145558457
Buy 16160  AGOG @ 86.76 #+15145551949
Buy 16820  AGOG @ 87.1 #+15145559016
Buy 12620  AGOG @ 87.88 #+15145551913
Buy 12250  AGOG @ 86.24 #+15145556334
Buy 22320  AGOG @ 86.82 #+15145552679
Buy 15580  AGOG @ 86.99 #+15145555347
Buy 12680  AGOG @ 86.32 #+15145558108
Buy 17080  AGOG @ 86.22 #+15145557219
Sell 17410  AGOG @ 84.71 #+15145551297
Sell 17330  AGOG @ 85.8 #+15145551026
Sell 18560  AGOG @ 86.75 #+15145556917
Buy 33220  AGOG @ 86.05 #+15145559637
Sell 23910  AGOG @ 85.06 #+15145552835
Buy 31820  AGOG @ 83.88 #+15145550513
Buy 8170  AGOG @ 84.98 #+15145557792
Sell 29810  AGOG @ 86.05 #+15145557487
Sell 18280  AGOG @ 85.42 #+15145559155
Buy 13370  AGOG @ 85.37 #+15145556626
Sell 22410  AGOG @ 87.06 #+15145555690
Sell 20410  AGOG @ 85.55 #+15145559565
Sell 12760  AGOG @ 81.16 #+15145557725
Buy 10760  AGOG @ 84.94 #+15145555540
Buy 15920  AGOG @ 85.35 #+15145553119
Buy 13880  AGOG @ 86.53 #+15145552960
Buy 12490  AGOG @ 84.8 #+15145555974
Sell 14050  AGOG @ 85.07 #+15145556420
Buy 21240  AGOG @ 86.74 #+15145559694
Buy 18100  AGOG @ 85.04 #+15145559971
Sell 35500  AGOG @ 84.52 #+15145553469
Sell 19150  AGOG @ 83.34 #+15145557261
Buy 23600  AGOG @ 84.37 #+15145558447
Buy 28390  AGOG @ 85.24 #+15145557687
Buy 24990  AGOG @ 85 #+15145550921
Sell 30470  AGOG @ 84.67 #+15145553091
Buy 17610  AGOG @ 84.56 #+15145557584
Buy 31090  AGOG @ 83.8 #+15145556474
Sell 33650  AGOG @ 84.84 #+15145550511
Buy 27850  AGOG @ 84.65 #+15145554356
Sell 20110  AGOG @ 85.27 #+15145552805
Sell 31210  AGOG @ 84.71 #+15145554841
Sell 33780  AGOG @ 85.45 #+15145551820
Buy 20480  AGOG @ 83.38 #+15145557665
Sell 16180  AGOG @ 86.24 #+15145557663
Sell 21930  AGOG @ 86.41 #+15145550516
Sell 28110  AGOG @ 85.16 #+15145558933
Sell 15360  AGOG @ 85.22 #+15145553002
Buy 16400  AGOG @ 84.71 #+15145555579
Buy 27780  AGOG @ 85.22 #+15145559785
Buy 28100  AGOG @ 84.86 #+15145553412
Sell 43940  AGOG @ 82.88 #+15145553211
Sell 32120  AGOG @ 83.47 #+15145557654
Sell 23000  AGOG @ 84.16 #+15145559742
Sell 31370  AGOG @ 84.61 #+15145558059
Sell 18160  AGOG @ 84.41 #+15145557045
Sell 19680  AGOG @ 85.02 #+15145557326
Sell 16780  AGOG @ 84.48 #+15145555417
Sell 26450  AGOG @ 84.88 #+15145558653
Sell 22850  AGOG @ 83.74 #+15145554445
Sell 17360  AGOG @ 84.67 #+15145556162
Buy 18900  AGOG @ 85.09 #+15145558027
Buy 36230  AGOG @ 83.06 #+15145557990
Buy 71680  AGOG @ 85.28 #+15145559304
Sell 39170  AGOG @ 85.8 #+15145557982
Buy 26970  AGOG @ 84.83 #+15145552598
Buy 51420  AGOG @ 85.02 #+15145550856
Sell 60020  AGOG @ 85.47 #+15145553143
Buy 41020  AGOG @ 86.2 #+15145559775
Buy 47510  AGOG @ 85.62 #+15145552502
Buy 22820  AGOG @ 82.63 #+15145550936
Buy 47730  AGOG @ 85.54 #+15145559042
Buy 45360  AGOG @ 82.39 #+15145555007
Sell 19920  AGOG @ 84.24 #+15145553305
Buy 25690  AGOG @ 83.71 #+15145553116
Buy 9220  AGOG @ 82.57 #+15145551428
Buy 20100  AGOG @ 83.2 #+15145551187
Buy 11990  AGOG @ 82.6 #+15145558690
Buy 16200  AGOG @ 84.28 #+15145554358
Sell 14900  AGOG @ 81.36 #+15145557468
Sell 23220  AGOG @ 82.89 #+15145559392
Sell 27480  AGOG @ 81.77 #+15145557218
Buy 32650  AGOG @ 79.7 #+15145551781
Buy 31870  AGOG @ 81.69 #+15145557037
Buy 18740  AGOG @ 85.59 #+15145552339
Sell 17870  AGOG @ 82.43 #+15145559937
Sell 12620  AGOG @ 82.46 #+15145558426
Sell 13750  AGOG @ 80.3 #+15145557219
Buy 18300  AGOG @ 84.78 #+15145551503
Buy 18960  AGOG @ 79.69 #+15145555447
Sell 23100  AGOG @ 81.61 #+15145559864
Sell 21730  AGOG @ 84.01 #+15145554604
Sell 33080  AGOG @ 79.45 #+15145553538
Buy 20750  AGOG @ 82.36 #+15145559169
Buy 30550  AGOG @ 83.17 #+15145556598
Buy 21410  AGOG @ 82.04 #+15145557515
Buy 22900  AGOG @ 81.47 #+15145552736
Sell 20610  AGOG @ 79.37 #+15145559901
Sell 20100  AGOG @ 77.26 #+15145551938
Buy 17230  AGOG @ 81 #+15145550022
Sell 14970  AGOG @ 80.93 #+15145556894
Buy 20120  AGOG @ 80.2 #+15145553838
Sell 19280  AGOG @ 80.22 #+15145552999
Sell 18340  AGOG @ 80.62 #+15145559435
Buy 10460  AGOG @ 80.25 #+15145557392
Buy 15400  AGOG @ 80.56 #+15145550780
Sell 13700  AGOG @ 79.71 #+15145556130
Buy 12730  AGOG @ 80.13 #+15145552029
Buy 21440  AGOG @ 79.36 #+15145554547
Sell 18920  AGOG @ 82.13 #+15145554985
Buy 24500  AGOG @ 79.62 #+15145555365
Sell 36510  AGOG @ 80.54 #+15145556235
Buy 16710  AGOG @ 79.1 #+15145558981
Buy 19850  AGOG @ 78.91 #+15145551403
Buy 20710  AGOG @ 78.4 #+15145552725
Sell 27660  AGOG @ 78.83 #+15145555046
Sell 24730  AGOG @ 74.9 #+15145551551
Sell 27550  AGOG @ 79.27 #+15145558501
Sell 29860  AGOG @ 79.51 #+15145553642
Sell 39660  AGOG @ 78.25 #+15145556181
Sell 30150  AGOG @ 78.48 #+15145557319
Buy 41700  AGOG @ 74.6 #+15145558106
Buy 43970  AGOG @ 81.09 #+15145553249
Sell 19680  AGOG @ 79.1 #+15145555646
Sell 25130  AGOG @ 79.53 #+15145552449
Buy 21850  AGOG @ 79.17 #+15145551739
Buy 14410  AGOG @ 80.39 #+15145553365
Buy 15180  AGOG @ 80.56 #+15145550858
Buy 18410  AGOG @ 79.96 #+15145558691
Buy 16710  AGOG @ 80.89 #+15145552078
Buy 16950  AGOG @ 80.3 #+15145559044
Sell 15670  AGOG @ 80.98 #+15145550641
Buy 16180  AGOG @ 78.64 #+15145553002
Sell 15470  AGOG @ 79.82 #+15145556738
Buy 31810  AGOG @ 77.91 #+15145555119
Sell 16420  AGOG @ 78.9 #+15145550203
Buy 11710  AGOG @ 79.83 #+15145556829
Buy 16580  AGOG @ 79.47 #+15145557898
Sell 9510  AGOG @ 77.68 #+15145558548
Buy 8180  AGOG @ 79.35 #+15145559128
Sell 13450  AGOG @ 80.12 #+15145551645
Sell 11500  AGOG @ 79.39 #+15145555764
Sell 4730  AGOG @ 79.31 #+15145557694
Sell 23580  AGOG @ 80.38 #+15145558454
Sell 10630  AGOG @ 79.14 #+15145551808
Sell 17800  AGOG @ 78.46 #+15145555174
Buy 30020  AGOG @ 78.64 #+15145558034
Buy 26150  AGOG @ 78.01 #+15145550819
Buy 20630  AGOG @ 74.51 #+15145550502
Buy 13270  AGOG @ 78.68 #+15145556182
Sell 18080  AGOG @ 77.65 #+15145550152
Sell 22600  AGOG @ 77.74 #+15145555765
Sell 18740  AGOG @ 77.78 #+15145553561
Sell 25390  AGOG @ 78.05 #+15145558741
Buy 31160  AGOG @ 76.99 #+15145556691
Buy 18030  AGOG @ 78.54 #+15145556574
Buy 17570  AGOG @ 77 #+15145554969
Buy 17190  AGOG @ 77.66 #+15145557979
Sell 17800  AGOG @ 76.69 #+15145553251
Buy 17090  AGOG @ 77.38 #+15145554754
Sell 17580  AGOG @ 72.88 #+15145554770
Sell 11450  AGOG @ 75.81 #+15145555338
Sell 21370  AGOG @ 74.61 #+15145554022
Buy 19770  AGOG @ 76.44 #+15145555097
Buy 24500  AGOG @ 76.35 #+15145557872
Sell 16120  AGOG @ 77.19 #+15145559006
Buy 26890  AGOG @ 76.33 #+15145556963
Buy 12770  AGOG @ 73.18 #+15145553413
Buy 22240  AGOG @ 80.57 #+15145552556
Buy 26120  AGOG @ 77.8 #+15145552881
Sell 26450  AGOG @ 75.76 #+15145559054
Buy 10210  AGOG @ 76.36 #+15145553287
Sell 16340  AGOG @ 76.56 #+15145556757
Sell 24090  AGOG @ 75.06 #+15145551035
Buy 14830  AGOG @ 77.44 #+15145556620
Sell 13560  AGOG @ 76.45 #+15145554911
Buy 27730  AGOG @ 75.63 #+15145557584
Buy 18690  AGOG @ 75.82 #+15145556343
Sell 17240  AGOG @ 73.71 #+15145550545
Buy 15250  AGOG @ 77.79 #+15145551600
Buy 22320  AGOG @ 76.05 #+15145559228
Sell 39140  AGOG @ 75.45 #+15145559687
Sell 25040  AGOG @ 75.91 #+15145553241
Sell 19910  AGOG @ 77.28 #+15145551558
Buy 21210  AGOG @ 76.73 #+15145554858
Sell 17760  AGOG @ 78.77 #+15145555816
Sell 16010  AGOG @ 76.98 #+15145554990
Buy 46200  AGOG @ 77.4 #+15145556447
Sell 38320  AGOG @ 77.35 #+15145555657
Sell 17870  AGOG @ 76.78 #+15145555105
Sell 20470  AGOG @ 76.72 #+15145550812
Buy 24330  AGOG @ 76.26 #+15145552789
Buy 17500  AGOG @ 75.89 #+15145553674
Buy 19490  AGOG @ 76.37 #+15145556787
Buy 16900  AGOG @ 76.13 #+15145559991
Sell 29010  AGOG @ 75.79 #+15145555176
Buy 27960  AGOG @ 76.33 #+15145551622
Buy 12450  AGOG @ 78.72 #+15145550102
Buy 21420  AGOG @ 76.94 #+15145552449
Sell 22220  AGOG @ 76.51 #+15145557672
Sell 32680  AGOG @ 72.4 #+15145552382
Sell 24870  AGOG @ 75.33 #+15145558919
Sell 39870  AGOG @ 76.41 #+15145552120
Sell 31600  AGOG @ 76.54 #+15145555710
Sell 26410  AGOG @ 75.5 #+15145558876
Buy 20700  AGOG @ 73 #+15145552658
Sell 26490  AGOG @ 77.07 #+15145555685
Sell 36810  AGOG @ 75.34 #+15145558116
Buy 30580  AGOG @ 74.99 #+15145557880
Buy 26820  AGOG @ 75.24 #+15145559324
Buy 86400  AGOG @ 75.38 #+15145555198
Sell 62010  AGOG @ 77.56 #+15145553958
Buy 53590  AGOG @ 73.64 #+15145555128
Buy 64660  AGOG @ 74.01 #+15145556181
Sell 19450  AGOG @ 77.78 #+15145555674
Buy 26860  AGOG @ 73.19 #+15145558227
Sell 49080  AGOG @ 73.53 #+15145551295
Buy 19090  AGOG @ 73.84 #+15145551238
Sell 17710  AGOG @ 72.67 #+15145557633
Sell 17000  AGOG @ 71.72 #+15145557933
Sell 14660  AGOG @ 72.54 #+15145559702
Sell 23590  AGOG @ 72.06 #+15145557499
Sell 30610  AGOG @ 74.58 #+15145556544
Buy 15420  AGOG @ 71.76 #+15145559932
Buy 33910  AGOG @ 72.14 #+15145557584
Buy 30410  AGOG @ 73.24 #+15145556807
Buy 15840  AGOG @ 72.02 #+15145558188
Buy 22850  AGOG @ 76.12 #+15145552672
Sell 26170  AGOG @ 71.45 #+15145554875
Sell 23530  AGOG @ 72.24 #+15145555738
Sell 15570  AGOG @ 72.45 #+15145556338
Buy 15500  AGOG @ 71.2 #+15145559570
