Sell 5250  BOOMY @ 98.82 #+15145555318  
Sell 11050  BOOMY @ 95.63 #+15145554590 
Buy 12220  BOOMY @ 95.87 #+15145556180  
Buy 7450  BOOMY @ 96.02 #+15145556865   
Buy 6920  BOOMY @ 96.72 #+15145553908   
Buy 15120  BOOMY @ 96.79 #+15145552847  
Buy 9270  BOOMY @ 96.09 #+15145550307   
Sell 12790  BOOMY @ 96.46 #+15145556017 
Sell 4040  BOOMY @ 97.12 #+15145551126  
Buy 9210  BOOMY @ 96.67 #+15145556512   
Sell 9830  BOOMY @ 96.83 #+15145555102  
Buy 10220  BOOMY @ 97.65 #+15145558453  
Buy 11040  BOOMY @ 96.92 #+15145559110  
Buy 12370  BOOMY @ 97.18 #+15145555986  
Buy 7230  BOOMY @ 97.28 #+15145552969   
Buy 12220  BOOMY @ 96.47 #+15145558902  
Sell 10000  BOOMY @ 96.59 #+15145553333 
Sell 13860  BOOMY @ 96.23 #+15145551706 
Sell 13730  BOOMY @ 96.68 #+15145553114 
Buy 10200  BOOMY @ 96.17 #+15145554102  
Buy 11230  BOOMY @ 96.11 #+15145556069  
Buy 7550  BOOMY @ 94.85 #+15145550254   
Sell 9740  BOOMY @ 95.7 #+15145557698   
Sell 7450  BOOMY @ 95.75 #+15145556609  
Buy 15580  BOOMY @ 96.21 #+15145552233  
Buy 6480  BOOMY @ 95.36 #+15145559221   
Sell 13290  BOOMY @ 94.53 #+15145552925 
Sell 7280  BOOMY @ 94.69 #+15145557524  
Buy 11180  BOOMY @ 95.37 #+15145551486  
Buy 10800  BOOMY @ 95.58 #+15145556422  
Sell 9390  BOOMY @ 97.34 #+15145556494  
Sell 12340  BOOMY @ 96.63 #+15145551320 
Buy 10670  BOOMY @ 96.8 #+15145553328   
Sell 10210  BOOMY @ 95.65 #+15145552931 
Buy 7000  BOOMY @ 95.45 #+15145555742   
Sell 16860  BOOMY @ 95.27 #+15145550122 
Sell 17130  BOOMY @ 95.08 #+15145553848 
Sell 29060  BOOMY @ 94.74 #+15145559469 
Sell 20210  BOOMY @ 94.87 #+15145550393 
Buy 14100  BOOMY @ 94.84 #+15145555445  
Sell 21060  BOOMY @ 95.43 #+15145554115 
Buy 24640  BOOMY @ 94.89 #+15145555828  
Sell 16120  BOOMY @ 94.68 #+15145558530 
Sell 17600  BOOMY @ 95.37 #+15145552076 
Buy 13490  BOOMY @ 95.93 #+15145550862  
Buy 15040  BOOMY @ 95.38 #+15145555287  
Sell 10980  BOOMY @ 94.55 #+15145551062 
Sell 9750  BOOMY @ 93.69 #+15145553349  
Buy 12370  BOOMY @ 93.9 #+15145559470   
Buy 18190  BOOMY @ 94.11 #+15145554185  
Buy 18450  BOOMY @ 93.89 #+15145559290  
Sell 17410  BOOMY @ 93.46 #+15145559688 
Sell 25950  BOOMY @ 93.39 #+15145554261 
Sell 12180  BOOMY @ 92.08 #+15145556973 
Sell 5710  BOOMY @ 93.29 #+15145552945  
Sell 11150  BOOMY @ 92.81 #+15145557026 
Buy 7120  BOOMY @ 93.96 #+15145553627   
Buy 5130  BOOMY @ 93.38 #+15145556816   
Sell 11910  BOOMY @ 92.07 #+15145551654 
Sell 13580  BOOMY @ 92.76 #+15145559802 
Sell 12390  BOOMY @ 92.65 #+15145556606 
Buy 9270  BOOMY @ 93.05 #+15145558616   
Sell 6000  BOOMY @ 93.3 #+15145554251   
Buy 11970  BOOMY @ 93.09 #+15145550525  
Buy 5520  BOOMY @ 93.23 #+15145553377   
Sell 6390  BOOMY @ 92.52 #+15145554697  
Buy 7060  BOOMY @ 92.13 #+15145557890   
Buy 12800  BOOMY @ 91.59 #+15145554498  
Buy 8990  BOOMY @ 91.28 #+15145558710   
Sell 13090  BOOMY @ 91.67 #+15145553630 
Buy 7740  BOOMY @ 92.17 #+15145559075   
Sell 8240  BOOMY @ 92.85 #+15145558260  
Buy 11570  BOOMY @ 92.62 #+15145552904  
Sell 14930  BOOMY @ 92.95 #+15145550900 
Buy 20090  BOOMY @ 93.51 #+15145554708  
Buy 13460  BOOMY @ 94.04 #+15145556529  
Sell 14950  BOOMY @ 94.81 #+15145552846 
Buy 10240  BOOMY @ 95.35 #+15145558049  
Sell 7430  BOOMY @ 96.05 #+15145556099  
Sell 5130  BOOMY @ 96.67 #+15145555662  
Sell 10660  BOOMY @ 96.94 #+15145557291 
Buy 10470  BOOMY @ 96.74 #+15145553782  
Sell 15210  BOOMY @ 97.06 #+15145555855 
Sell 12610  BOOMY @ 96.63 #+15145552318 
Sell 4410  BOOMY @ 96.06 #+15145550907  
Sell 6190  BOOMY @ 95.9 #+15145552761   
Buy 14020  BOOMY @ 94.89 #+15145558808  
Sell 12840  BOOMY @ 94.58 #+15145552291 
Buy 10670  BOOMY @ 94.46 #+15145551728  
Buy 7350  BOOMY @ 93.99 #+15145552712   
Sell 16230  BOOMY @ 93.83 #+15145552758 
Sell 13600  BOOMY @ 94.14 #+15145553523 
Buy 17480  BOOMY @ 94.65 #+15145558231  
Buy 26470  BOOMY @ 94.23 #+15145551886  
Buy 13950  BOOMY @ 93.94 #+15145555494  
Buy 7150  BOOMY @ 93.46 #+15145557668   
Buy 15070  BOOMY @ 92.64 #+15145556473  
Buy 26970  BOOMY @ 92.18 #+15145554206  
Buy 17220  BOOMY @ 91.89 #+15145551519  
Sell 9240  BOOMY @ 91.67 #+15145558655  
Buy 26030  BOOMY @ 92.41 #+15145557059  
Sell 21750  BOOMY @ 93.25 #+15145558795 
Buy 20790  BOOMY @ 93.46 #+15145559892  
Sell 13310  BOOMY @ 93.98 #+15145557792 
Sell 19150  BOOMY @ 93.81 #+15145557743 
Sell 14780  BOOMY @ 93.4 #+15145559336  
Sell 12400  BOOMY @ 93.73 #+15145556451 
Buy 25580  BOOMY @ 94.51 #+15145550065  
Sell 19220  BOOMY @ 94.19 #+15145559849 
Sell 20280  BOOMY @ 93.51 #+15145553894 
Buy 7150  BOOMY @ 93.13 #+15145556497   
Sell 8770  BOOMY @ 92.61 #+15145559322  
Sell 14920  BOOMY @ 93.51 #+15145557653 
Buy 16250  BOOMY @ 92.78 #+15145553011  
Sell 15880  BOOMY @ 92.65 #+15145554664 
Sell 18730  BOOMY @ 93.26 #+15145559495 
Buy 21790  BOOMY @ 93.37 #+15145554561  
Sell 11480  BOOMY @ 93.45 #+15145559534 
Sell 14660  BOOMY @ 93.76 #+15145556142 
Buy 8070  BOOMY @ 93.65 #+15145552605   
Buy 11570  BOOMY @ 93.71 #+15145551593  
Sell 12360  BOOMY @ 93.75 #+15145554350 
Sell 15260  BOOMY @ 93.82 #+15145551585 
Sell 9220  BOOMY @ 93.49 #+15145557367  
Buy 7080  BOOMY @ 93.9 #+15145552473    
Sell 10130  BOOMY @ 93.25 #+15145559523 
Buy 18130  BOOMY @ 94.33 #+15145559771  
Buy 7800  BOOMY @ 94.34 #+15145555423   
Sell 10130  BOOMY @ 95.35 #+15145553819 
Buy 26390  BOOMY @ 95.38 #+15145558622  
Buy 15640  BOOMY @ 95.57 #+15145557455  
Sell 15590  BOOMY @ 95.15 #+15145556657 
Buy 13750  BOOMY @ 95.36 #+15145554677  
Sell 8720  BOOMY @ 95.59 #+15145558968  
Sell 10470  BOOMY @ 95.66 #+15145550432 
Buy 11900  BOOMY @ 95.94 #+15145554261  
Buy 13630  BOOMY @ 95.41 #+15145558950  
Sell 3830  BOOMY @ 95.52 #+15145550379  
Buy 11160  BOOMY @ 95.06 #+15145552665  
Buy 10570  BOOMY @ 94.99 #+15145559920  
Buy 2950  BOOMY @ 94.34 #+15145558552   
Sell 12550  BOOMY @ 93.88 #+15145554919 
Buy 4460  BOOMY @ 94.43 #+15145553612   
Buy 10800  BOOMY @ 96.34 #+15145552020  
Sell 11840  BOOMY @ 96.72 #+15145559801 
Sell 17030  BOOMY @ 96.22 #+15145553431 
Sell 19490  BOOMY @ 96.71 #+15145550877 
Sell 16560  BOOMY @ 96.33 #+15145558843 
Buy 10400  BOOMY @ 96.76 #+15145552752  
Buy 5150  BOOMY @ 95.77 #+15145554916   
Sell 6540  BOOMY @ 95.6 #+15145559958   
Buy 13190  BOOMY @ 95.86 #+15145555796  
Buy 11250  BOOMY @ 94.87 #+15145552595  
Sell 5160  BOOMY @ 94.36 #+15145558067  
Sell 10530  BOOMY @ 93.91 #+15145553074 
Sell 13360  BOOMY @ 93.98 #+15145557653 
Buy 14870  BOOMY @ 93.69 #+15145554501  
Sell 9560  BOOMY @ 94.13 #+15145559741  
Buy 7610  BOOMY @ 94.12 #+15145551645   
Sell 9300  BOOMY @ 93.81 #+15145553218  
Buy 13620  BOOMY @ 92.77 #+15145552314  
Buy 13110  BOOMY @ 92.65 #+15145557199  
Sell 11110  BOOMY @ 91.83 #+15145550431 
Sell 14410  BOOMY @ 91.99 #+15145554062 
Sell 11340  BOOMY @ 93.6 #+15145553709  
Sell 17380  BOOMY @ 92.95 #+15145554836 
Sell 8310  BOOMY @ 93.03 #+15145554734  
Buy 16610  BOOMY @ 92.39 #+15145559551  
Sell 13300  BOOMY @ 91.3 #+15145559262  
Sell 14940  BOOMY @ 91.08 #+15145550155 
Sell 6510  BOOMY @ 89.94 #+15145554149  
Sell 7220  BOOMY @ 90.92 #+15145550907  
Buy 15680  BOOMY @ 90.58 #+15145554916  
Buy 6980  BOOMY @ 90.06 #+15145557008   
Sell 15140  BOOMY @ 90.74 #+15145557695 
Buy 14980  BOOMY @ 89.32 #+15145554761  
Sell 20850  BOOMY @ 89.67 #+15145558530 
Buy 10120  BOOMY @ 90.53 #+15145555221  
Sell 18130  BOOMY @ 90.69 #+15145553286 
Sell 12520  BOOMY @ 90.87 #+15145554349 
Sell 15990  BOOMY @ 91.51 #+15145553521 
Sell 11420  BOOMY @ 90.63 #+15145551826 
Sell 10390  BOOMY @ 90.84 #+15145554135 
Sell 21540  BOOMY @ 91.66 #+15145550264 
Sell 10450  BOOMY @ 92.34 #+15145555284 
Buy 14610  BOOMY @ 92.82 #+15145551356  
Sell 4320  BOOMY @ 93.45 #+15145550675  
Buy 9990  BOOMY @ 94.28 #+15145553914   
Buy 4580  BOOMY @ 94.37 #+15145559741   
Sell 15000  BOOMY @ 93.95 #+15145553810 
Buy 4930  BOOMY @ 94.17 #+15145555712   
Buy 10990  BOOMY @ 94.38 #+15145553420  
Sell 6530  BOOMY @ 94.37 #+15145557734  
Sell 3410  BOOMY @ 95.28 #+15145559355  
Sell 12160  BOOMY @ 94.55 #+15145554899 
Sell 14310  BOOMY @ 94.57 #+15145556754 
Sell 10080  BOOMY @ 95.17 #+15145552453 
Sell 10710  BOOMY @ 95.37 #+15145555838 
Sell 13220  BOOMY @ 94.77 #+15145557049 
Buy 8990  BOOMY @ 94.84 #+15145553715   
Buy 7900  BOOMY @ 94.66 #+15145553851   
Sell 6320  BOOMY @ 94.81 #+15145550379  
Sell 4860  BOOMY @ 94.94 #+15145552388  
Buy 10120  BOOMY @ 95.42 #+15145552299  
Buy 7560  BOOMY @ 96.07 #+15145558677   
Sell 6020  BOOMY @ 96.04 #+15145555976  
Sell 14300  BOOMY @ 95.29 #+15145558678 
Buy 6970  BOOMY @ 96.13 #+15145553557   
Buy 14160  BOOMY @ 95.33 #+15145558891  
Buy 9700  BOOMY @ 95.7 #+15145554972    
Sell 9310  BOOMY @ 95.32 #+15145558245  
Sell 5880  BOOMY @ 95.94 #+15145553213  
Buy 19740  BOOMY @ 94.69 #+15145558523  
Buy 9120  BOOMY @ 94.94 #+15145554339   
Sell 13510  BOOMY @ 94.14 #+15145559843 
Buy 8130  BOOMY @ 93.54 #+15145555079   
Buy 12960  BOOMY @ 93.72 #+15145556436  
Buy 11600  BOOMY @ 93.17 #+15145550172  
Buy 11520  BOOMY @ 94.24 #+15145557102  
Sell 15240  BOOMY @ 93.62 #+15145553888 
Sell 5230  BOOMY @ 93.48 #+15145550205  
Sell 12620  BOOMY @ 93.26 #+15145559559 
Sell 15780  BOOMY @ 93.94 #+15145551035 
Sell 14680  BOOMY @ 94.69 #+15145550352 
Buy 12200  BOOMY @ 94.36 #+15145550231  
Sell 17350  BOOMY @ 93.62 #+15145550280 
Buy 11360  BOOMY @ 94.2 #+15145556208   
Sell 3820  BOOMY @ 94.21 #+15145551180  
Buy 7180  BOOMY @ 92.77 #+15145558820   
Sell 14420  BOOMY @ 92.32 #+15145554885 
Sell 10430  BOOMY @ 92.78 #+15145556739 
Buy 21610  BOOMY @ 93.17 #+15145555016  
Sell 16860  BOOMY @ 93.56 #+15145551090 
Sell 16470  BOOMY @ 92.22 #+15145550488 
Buy 25460  BOOMY @ 91.65 #+15145557827  
Sell 19780  BOOMY @ 91.52 #+15145554962 
Sell 20640  BOOMY @ 91.71 #+15145556633 
Sell 11610  BOOMY @ 90.77 #+15145553533 
Sell 12460  BOOMY @ 90.25 #+15145553723 
Sell 6990  BOOMY @ 90.39 #+15145556957  
Buy 4820  BOOMY @ 89.55 #+15145558611   
Buy 9650  BOOMY @ 90.01 #+15145559334   
Buy 17030  BOOMY @ 90.8 #+15145557602   
Buy 8150  BOOMY @ 91.22 #+15145552634   
Buy 13340  BOOMY @ 91.39 #+15145550928  
Sell 10440  BOOMY @ 90.59 #+15145550074 
Buy 17210  BOOMY @ 90.56 #+15145558850  
Buy 5860  BOOMY @ 89.82 #+15145558918   
Sell 7520  BOOMY @ 89.03 #+15145555308  
Sell 5720  BOOMY @ 88.52 #+15145558529  
Sell 10590  BOOMY @ 88.3 #+15145552883  
Sell 8920  BOOMY @ 89.32 #+15145557834  
Sell 12340  BOOMY @ 90.19 #+15145550184 
Sell 8170  BOOMY @ 90.98 #+15145552282  
Buy 10940  BOOMY @ 91.28 #+15145550994  
Sell 7990  BOOMY @ 91.49 #+15145553867  
Sell 14170  BOOMY @ 92.48 #+15145557873 
Buy 4550  BOOMY @ 93.11 #+15145553692   
Buy 10320  BOOMY @ 93.36 #+15145559141  
Buy 13510  BOOMY @ 91.3 #+15145555821   
Buy 11940  BOOMY @ 92.26 #+15145556465  
Buy 13880  BOOMY @ 92.05 #+15145558938  
Buy 5340  BOOMY @ 92.03 #+15145554849   
Buy 12370  BOOMY @ 91.16 #+15145552481  
Sell 7140  BOOMY @ 91.34 #+15145559668  
Buy 8460  BOOMY @ 90.98 #+15145553277   
Buy 11980  BOOMY @ 91.36 #+15145559012  
Buy 10030  BOOMY @ 91.41 #+15145555552  
Buy 6590  BOOMY @ 92.15 #+15145553607   
Buy 12700  BOOMY @ 91.42 #+15145556345  
Sell 15140  BOOMY @ 91 #+15145555027    
Sell 6980  BOOMY @ 90.47 #+15145550833  
Buy 18520  BOOMY @ 90.13 #+15145553912  
Sell 13770  BOOMY @ 90.7 #+15145554241  
Buy 15090  BOOMY @ 90.43 #+15145554407  
Buy 8060  BOOMY @ 90.39 #+15145557180   
Sell 9520  BOOMY @ 89.61 #+15145558681  
Buy 13930  BOOMY @ 89.76 #+15145553012  
Buy 9860  BOOMY @ 90.79 #+15145553657   
Sell 6510  BOOMY @ 90.61 #+15145550637  
Buy 17220  BOOMY @ 91.04 #+15145552084  
Sell 10400  BOOMY @ 91.15 #+15145555765 
Buy 9950  BOOMY @ 90.87 #+15145554461   
Sell 16930  BOOMY @ 89.8 #+15145552441  
Sell 9730  BOOMY @ 88.92 #+15145558198  
Sell 14120  BOOMY @ 89.51 #+15145559294 
Buy 11270  BOOMY @ 89.51 #+15145550594  
Buy 17720  BOOMY @ 89.85 #+15145557250  
Buy 17550  BOOMY @ 90.2 #+15145554017   
Sell 9310  BOOMY @ 89.89 #+15145554988  
Buy 12440  BOOMY @ 90.29 #+15145555697  
Sell 21690  BOOMY @ 89.67 #+15145555742 
Sell 23990  BOOMY @ 90.15 #+15145550046 
Buy 31700  BOOMY @ 89.28 #+15145553616  
Buy 21490  BOOMY @ 88.95 #+15145557841  
Buy 17660  BOOMY @ 88.31 #+15145558240  
Sell 27950  BOOMY @ 87.6 #+15145552777  
Sell 21930  BOOMY @ 88.19 #+15145559426 
Sell 16940  BOOMY @ 87.9 #+15145551148  
Sell 20250  BOOMY @ 87.9 #+15145556017  
Buy 14500  BOOMY @ 88.12 #+15145555303  
Sell 30690  BOOMY @ 88.06 #+15145554666 
Sell 14520  BOOMY @ 87.18 #+15145551334 
Sell 6880  BOOMY @ 87.36 #+15145551941  
Buy 15780  BOOMY @ 87.11 #+15145558909  
Sell 17120  BOOMY @ 86.62 #+15145550946 
Buy 10100  BOOMY @ 85.82 #+15145559980  
Buy 9360  BOOMY @ 86.26 #+15145551120   
Sell 21090  BOOMY @ 85.65 #+15145553688 
Buy 13720  BOOMY @ 85.85 #+15145555018  
Sell 9830  BOOMY @ 85.13 #+15145555274  
Sell 9510  BOOMY @ 84.61 #+15145551846  
Sell 10780  BOOMY @ 84.58 #+15145557598 
Buy 16060  BOOMY @ 85.05 #+15145557037  
Buy 12630  BOOMY @ 85.19 #+15145554937  
Buy 17630  BOOMY @ 84.73 #+15145552359  
Sell 20310  BOOMY @ 84.63 #+15145558644 
Sell 20540  BOOMY @ 84.38 #+15145551621 
Buy 20650  BOOMY @ 82.8 #+15145555111   
Sell 22460  BOOMY @ 82.48 #+15145551481 
Sell 18290  BOOMY @ 82.22 #+15145550617 
Sell 15530  BOOMY @ 81.37 #+15145554075 
Buy 19710  BOOMY @ 81.28 #+15145559988  
Sell 19820  BOOMY @ 80.94 #+15145556835 
Sell 33880  BOOMY @ 81.44 #+15145555558 
Sell 21610  BOOMY @ 80.23 #+15145551737 
Buy 27210  BOOMY @ 80.25 #+15145553574  
Buy 31430  BOOMY @ 79.77 #+15145552967  
Buy 25810  BOOMY @ 80.1 #+15145552812   
Buy 13100  BOOMY @ 79.39 #+15145556882  
Sell 17910  BOOMY @ 79.31 #+15145557526 
Buy 15680  BOOMY @ 79.31 #+15145558438  
Sell 25700  BOOMY @ 79.43 #+15145550475 
Buy 26860  BOOMY @ 79.83 #+15145555141  
Sell 23200  BOOMY @ 79.48 #+15145550643 
Sell 23380  BOOMY @ 79.69 #+15145556472 
Buy 11350  BOOMY @ 80.01 #+15145556648  
Buy 21140  BOOMY @ 79.65 #+15145550754  
Buy 18480  BOOMY @ 79.5 #+15145553111   
Buy 25420  BOOMY @ 80.12 #+15145551094  
Buy 33890  BOOMY @ 81.19 #+15145552214  
Buy 22210  BOOMY @ 81 #+15145556074     
Buy 20980  BOOMY @ 80.52 #+15145556800  
Buy 32680  BOOMY @ 80 #+15145555302     
Sell 43020  BOOMY @ 80.67 #+15145552491 
Sell 18120  BOOMY @ 81.01 #+15145552329 
Sell 35820  BOOMY @ 80.41 #+15145551573 
Buy 45040  BOOMY @ 80.29 #+15145555743  
Buy 34140  BOOMY @ 79.58 #+15145552275  
Buy 33360  BOOMY @ 79.96 #+15145554714  
Sell 29270  BOOMY @ 80.43 #+15145557609 
Buy 13130  BOOMY @ 81.06 #+15145555532  
Sell 16060  BOOMY @ 80.6 #+15145553559  
Sell 19350  BOOMY @ 80.32 #+15145553395 
Buy 9590  BOOMY @ 81.17 #+15145555353   
Buy 11470  BOOMY @ 80.86 #+15145557528  
Sell 19240  BOOMY @ 80.85 #+15145558762 
Sell 24820  BOOMY @ 80.6 #+15145559576  
Sell 17820  BOOMY @ 80.51 #+15145551592 
Sell 12550  BOOMY @ 80.92 #+15145551831 
Buy 18110  BOOMY @ 81.19 #+15145550886  
Buy 17740  BOOMY @ 81.47 #+15145550147  
Sell 26670  BOOMY @ 81.7 #+15145551054  
Sell 32000  BOOMY @ 81.57 #+15145550905 
Buy 22830  BOOMY @ 81.21 #+15145551798  
Sell 18740  BOOMY @ 81.16 #+15145551306 
Sell 31770  BOOMY @ 81.82 #+15145552177 
Buy 28530  BOOMY @ 81.47 #+15145554901  
Buy 25330  BOOMY @ 81.27 #+15145559902  
