Buy 8850  AUKV @ 91.77 #+15145559425
Sell 21010  AUKV @ 162.45 #+15145555343
Buy 14850  AUKV @ 157.65 #+15145553095
Buy 13900  AUKV @ 161.76 #+15145555575
Buy 9490  AUKV @ 156.71 #+15145554202
Sell 13900  AUKV @ 157.06 #+15145551113
Sell 18810  AUKV @ 161.12 #+15145553434
Buy 13490  AUKV @ 159.31 #+15145552488
Sell 22460  AUKV @ 158.43 #+15145559092
Sell 21050  AUKV @ 152.68 #+15145557364
Buy 12160  AUKV @ 150.06 #+15145559704
Sell 12360  AUKV @ 159.54 #+15145557525
Buy 14470  AUKV @ 152.16 #+15145554734
Buy 14040  AUKV @ 153.18 #+15145558138
Sell 10100  AUKV @ 145.05 #+15145555969
Buy 12930  AUKV @ 145.37 #+15145554393
Buy 8890  AUKV @ 145.85 #+15145559687
Buy 6600  AUKV @ 147.01 #+15145554607
Buy 5380  AUKV @ 146.27 #+15145555181
Sell 4390  AUKV @ 146.21 #+15145551338
Sell 6160  AUKV @ 145.63 #+15145558382
Buy 11080  AUKV @ 144.29 #+15145553525
Sell 10830  AUKV @ 137.64 #+15145558426
Sell 7170  AUKV @ 134.5 #+15145551471
Buy 6670  AUKV @ 132.96 #+15145554303
Buy 8770  AUKV @ 133.29 #+15145559831
Sell 15410  AUKV @ 136.89 #+15145556765
Sell 14720  AUKV @ 135.54 #+15145555643
Sell 7450  AUKV @ 137.89 #+15145555119
Sell 7980  AUKV @ 139.23 #+15145550175
Sell 15930  AUKV @ 139.66 #+15145550348
Sell 13900  AUKV @ 132.63 #+15145552589
Sell 11410  AUKV @ 129.96 #+15145551779
Buy 13270  AUKV @ 135.26 #+15145551254
Buy 18940  AUKV @ 133.43 #+15145558969
Buy 10570  AUKV @ 129.9 #+15145559196
Sell 4510  AUKV @ 131.95 #+15145554155
Sell 7160  AUKV @ 131.45 #+15145557525
Buy 12880  AUKV @ 136.84 #+15145551118
Sell 8950  AUKV @ 137.97 #+15145557432
Buy 9080  AUKV @ 144.68 #+15145552326
Buy 7580  AUKV @ 147.63 #+15145551097
Sell 9560  AUKV @ 149.92 #+15145552544
Sell 13630  AUKV @ 144.57 #+15145554298
Sell 16360  AUKV @ 141.71 #+15145557426
Buy 7590  AUKV @ 147.57 #+15145556822
Sell 14370  AUKV @ 145.62 #+15145553612
Sell 10200  AUKV @ 145.5 #+15145557367
Sell 14860  AUKV @ 146.66 #+15145558074
Buy 18000  AUKV @ 145.22 #+15145551882
Sell 22140  AUKV @ 150.17 #+15145554635
Buy 14300  AUKV @ 146.65 #+15145558747
Sell 12760  AUKV @ 143.35 #+15145556023
Sell 13660  AUKV @ 144.33 #+15145555227
Sell 24200  AUKV @ 140.98 #+15145555993
Sell 17250  AUKV @ 138.39 #+15145556518
Sell 15930  AUKV @ 137.26 #+15145555610
Sell 26290  AUKV @ 145.33 #+15145553859
Buy 21820  AUKV @ 149.53 #+15145552566
Buy 19410  AUKV @ 152.62 #+15145554161
Buy 12040  AUKV @ 152.17 #+15145555709
Sell 13840  AUKV @ 155 #+15145552828
Buy 12430  AUKV @ 153.45 #+15145553227
Sell 15990  AUKV @ 152.63 #+15145555828
Sell 20950  AUKV @ 154.11 #+15145559899
Sell 12230  AUKV @ 156.39 #+15145558924
Buy 16510  AUKV @ 153.71 #+15145558777
Buy 6290  AUKV @ 149.56 #+15145553200
Sell 6350  AUKV @ 152.43 #+15145552654
Sell 9310  AUKV @ 147.23 #+15145555786
Buy 8370  AUKV @ 147.43 #+15145558345
Sell 14220  AUKV @ 147.87 #+15145558610
Buy 26510  AUKV @ 141.64 #+15145557228
Sell 23060  AUKV @ 146.35 #+15145556791
Sell 15230  AUKV @ 146.34 #+15145550932
Sell 15080  AUKV @ 143.95 #+15145552691
Sell 9280  AUKV @ 141.92 #+15145553988
Sell 9990  AUKV @ 141.49 #+15145554291
Buy 11280  AUKV @ 142.78 #+15145559018
Sell 8690  AUKV @ 142.74 #+15145558091
Buy 10430  AUKV @ 143.29 #+15145553404
Buy 6420  AUKV @ 146.11 #+15145550478
Sell 13590  AUKV @ 146.26 #+15145556122
Sell 11340  AUKV @ 147.77 #+15145554942
Buy 11750  AUKV @ 149.56 #+15145558736
Sell 10580  AUKV @ 150.08 #+15145554035
Buy 22290  AUKV @ 144.58 #+15145553923
Sell 8840  AUKV @ 146.44 #+15145558375
Buy 16610  AUKV @ 151.75 #+15145551522
Buy 9080  AUKV @ 152.28 #+15145556837
Sell 13860  AUKV @ 153.92 #+15145559709
Sell 8220  AUKV @ 152.91 #+15145553109
Sell 13630  AUKV @ 157.69 #+15145552202
Sell 14840  AUKV @ 153.96 #+15145552660
Buy 4690  AUKV @ 149.17 #+15145553227
Sell 9130  AUKV @ 155.85 #+15145559648
Sell 11370  AUKV @ 152.72 #+15145558849
Buy 5580  AUKV @ 157.2 #+15145550782
Sell 8910  AUKV @ 163.31 #+15145553611
Sell 3260  AUKV @ 168.67 #+15145551845
Buy 6340  AUKV @ 169.7 #+15145556039
Buy 13060  AUKV @ 167.16 #+15145555053
Buy 14210  AUKV @ 170.02 #+15145556636
Buy 22410  AUKV @ 173.19 #+15145555583
Buy 10500  AUKV @ 174.38 #+15145559143
Buy 10200  AUKV @ 171.49 #+15145553266
Sell 6990  AUKV @ 181.15 #+15145557139
Sell 8380  AUKV @ 185.98 #+15145555882
Buy 11760  AUKV @ 184.36 #+15145555437
Buy 11160  AUKV @ 179.52 #+15145554799
Buy 10230  AUKV @ 180.12 #+15145553135
Buy 11670  AUKV @ 176.83 #+15145558330
Sell 13830  AUKV @ 177.73 #+15145550004
Buy 14460  AUKV @ 183.25 #+15145556658
Sell 4230  AUKV @ 187.12 #+15145551566
Sell 5090  AUKV @ 182.52 #+15145556122
Sell 10110  AUKV @ 182.98 #+15145552001
Sell 15040  AUKV @ 185.77 #+15145550819
Sell 10540  AUKV @ 187.45 #+15145552260
Sell 7680  AUKV @ 192.53 #+15145559276
Sell 7180  AUKV @ 199.42 #+15145552232
Buy 9620  AUKV @ 204.25 #+15145554387
Sell 14350  AUKV @ 199.64 #+15145555450
Buy 11850  AUKV @ 194.48 #+15145553428
Sell 12340  AUKV @ 197.05 #+15145559222
Sell 10590  AUKV @ 197.66 #+15145552911
Sell 11080  AUKV @ 196.99 #+15145550001
Buy 7010  AUKV @ 205.11 #+15145557683
Sell 14350  AUKV @ 208.38 #+15145556942
Sell 13630  AUKV @ 218.25 #+15145558952
Sell 9880  AUKV @ 214.8 #+15145550178
Buy 11250  AUKV @ 212.89 #+15145553397
Sell 14110  AUKV @ 210.05 #+15145557812
Buy 18430  AUKV @ 215.28 #+15145551876
Buy 10490  AUKV @ 216.04 #+15145559758
Sell 23170  AUKV @ 214.38 #+15145552132
Sell 18820  AUKV @ 211.19 #+15145551035
Buy 15440  AUKV @ 205.93 #+15145553658
Buy 10580  AUKV @ 200.4 #+15145556933
Sell 6300  AUKV @ 210.62 #+15145559889
Sell 18070  AUKV @ 217.36 #+15145551750
Buy 8800  AUKV @ 222.42 #+15145555930
Sell 12420  AUKV @ 221.96 #+15145558326
Sell 8060  AUKV @ 221.7 #+15145553962
Buy 12060  AUKV @ 218.11 #+15145554833
Sell 10100  AUKV @ 214.33 #+15145551813
Buy 14470  AUKV @ 211.76 #+15145553595
Sell 3210  AUKV @ 214.9 #+15145557943
Buy 8980  AUKV @ 215.83 #+15145559501
Sell 9250  AUKV @ 217.07 #+15145550771
Buy 4980  AUKV @ 210.81 #+15145550178
Buy 10010  AUKV @ 208.92 #+15145554128
Buy 9570  AUKV @ 196.45 #+15145558310
Sell 17500  AUKV @ 196.84 #+15145559807
Buy 14240  AUKV @ 195.43 #+15145551983
Sell 6890  AUKV @ 194.31 #+15145555365
Sell 12180  AUKV @ 193.82 #+15145552030
Sell 11000  AUKV @ 191.48 #+15145557288
Buy 8290  AUKV @ 193.09 #+15145555232
Buy 12840  AUKV @ 194 #+15145552758
Buy 11970  AUKV @ 199.2 #+15145558745
Sell 7610  AUKV @ 199.93 #+15145555577
Sell 8900  AUKV @ 197.29 #+15145553451
Buy 13150  AUKV @ 196.48 #+15145551857
Buy 8720  AUKV @ 193.16 #+15145553894
Sell 6720  AUKV @ 194.36 #+15145555851
Buy 7050  AUKV @ 193.3 #+15145551146
Buy 10650  AUKV @ 194.65 #+15145555340
Sell 14570  AUKV @ 197.65 #+15145558558
Buy 12840  AUKV @ 207.21 #+15145555008
Buy 11080  AUKV @ 206.24 #+15145551712
Sell 10500  AUKV @ 203.07 #+15145555506
Buy 14500  AUKV @ 205.97 #+15145554776
Sell 7610  AUKV @ 206.89 #+15145554128
Sell 5320  AUKV @ 204.15 #+15145550366
Sell 10210  AUKV @ 215.4 #+15145553396
Buy 17350  AUKV @ 217.7 #+15145553583
Sell 12010  AUKV @ 214.15 #+15145550770
Sell 11580  AUKV @ 210.46 #+15145559028
Buy 13320  AUKV @ 217.89 #+15145553710
Buy 11170  AUKV @ 214.18 #+15145554049
Sell 14190  AUKV @ 215.25 #+15145554402
Sell 20090  AUKV @ 216.11 #+15145551005
Buy 9530  AUKV @ 223.5 #+15145552070
Buy 12070  AUKV @ 218.44 #+15145555113
Buy 13190  AUKV @ 217.5 #+15145551937
Sell 8170  AUKV @ 220.87 #+15145558162
Sell 9690  AUKV @ 222.29 #+15145556317
Sell 16210  AUKV @ 220.25 #+15145559472
Buy 13490  AUKV @ 220.15 #+15145551695
Sell 21580  AUKV @ 215.52 #+15145559053
Sell 19760  AUKV @ 216.37 #+15145557648
Buy 21160  AUKV @ 217.16 #+15145556065
Sell 21650  AUKV @ 212.12 #+15145555795
Sell 13840  AUKV @ 218.64 #+15145559214
Sell 11020  AUKV @ 215 #+15145552994
Buy 10710  AUKV @ 209.98 #+15145554020
Sell 9580  AUKV @ 219.99 #+15145552845
Sell 16090  AUKV @ 219.93 #+15145555382
Sell 17240  AUKV @ 216.26 #+15145558610
Sell 15570  AUKV @ 212.75 #+15145557818
Buy 7740  AUKV @ 214.98 #+15145558465
Buy 9890  AUKV @ 209.83 #+15145555232
Sell 16670  AUKV @ 206.32 #+15145552131
Sell 7170  AUKV @ 205.99 #+15145551179
Sell 10270  AUKV @ 209.43 #+15145552026
Sell 10120  AUKV @ 209.98 #+15145550178
Buy 10140  AUKV @ 210.04 #+15145554457
Sell 6720  AUKV @ 210.88 #+15145553132
Sell 10750  AUKV @ 208.22 #+15145554894
Sell 9200  AUKV @ 200.52 #+15145558022
Sell 9590  AUKV @ 201.7 #+15145555946
Buy 13590  AUKV @ 203.52 #+15145556871
Sell 10530  AUKV @ 207.3 #+15145551011
Buy 9030  AUKV @ 211.86 #+15145554387
Sell 11650  AUKV @ 202.87 #+15145551641
Sell 14800  AUKV @ 199.38 #+15145552931
Sell 17180  AUKV @ 189.77 #+15145558368
Buy 16790  AUKV @ 182.1 #+15145553906
Sell 6810  AUKV @ 180.16 #+15145557355
Buy 12250  AUKV @ 175.88 #+15145555615
Sell 6640  AUKV @ 174.21 #+15145557512
Sell 16550  AUKV @ 169.66 #+15145551521
Sell 9090  AUKV @ 170.99 #+15145551825
Buy 10250  AUKV @ 171.17 #+15145554492
Buy 8230  AUKV @ 169.17 #+15145553258
Sell 7350  AUKV @ 165.85 #+15145556288
Buy 15410  AUKV @ 166.4 #+15145557053
Sell 11630  AUKV @ 168.43 #+15145553005
Buy 15950  AUKV @ 175.25 #+15145551807
Sell 10190  AUKV @ 174.02 #+15145553744
Buy 9040  AUKV @ 174.2 #+15145553603
Buy 11340  AUKV @ 176.6 #+15145557922
Buy 12060  AUKV @ 180.43 #+15145557968
Sell 8370  AUKV @ 181.45 #+15145556938
Sell 9650  AUKV @ 182.8 #+15145557163
Sell 10490  AUKV @ 180.44 #+15145550008
Buy 10230  AUKV @ 179.61 #+15145558199
Buy 9360  AUKV @ 178.78 #+15145558408
Sell 12220  AUKV @ 178.69 #+15145552085
Buy 24700  AUKV @ 178.57 #+15145554890
Buy 10580  AUKV @ 173.9 #+15145556766
Sell 12450  AUKV @ 169.9 #+15145551502
Buy 11600  AUKV @ 166.77 #+15145559545
Buy 16020  AUKV @ 170.44 #+15145550556
Buy 15270  AUKV @ 167.43 #+15145555909
Buy 17340  AUKV @ 168.67 #+15145553157
Sell 16340  AUKV @ 165.68 #+15145557933
Sell 19420  AUKV @ 165.74 #+15145553747
Sell 23300  AUKV @ 163.12 #+15145554070
Sell 29060  AUKV @ 167.17 #+15145557860
Buy 19670  AUKV @ 170.74 #+15145557946
Buy 23880  AUKV @ 165.64 #+15145550511
Sell 19100  AUKV @ 162.64 #+15145556831
Sell 21350  AUKV @ 159.32 #+15145552835
Sell 10450  AUKV @ 157.17 #+15145553598
Sell 21500  AUKV @ 153.71 #+15145551467
Sell 12500  AUKV @ 150.38 #+15145554214
Buy 26570  AUKV @ 144.21 #+15145556805
Buy 14810  AUKV @ 149.91 #+15145559462
Buy 5910  AUKV @ 145.78 #+15145552255
Buy 15480  AUKV @ 143.49 #+15145557930
Sell 9750  AUKV @ 143.17 #+15145554703
Sell 6890  AUKV @ 143.98 #+15145553562
Buy 17330  AUKV @ 139.14 #+15145554494
Buy 15970  AUKV @ 139.11 #+15145558596
Sell 13260  AUKV @ 136.68 #+15145558607
Buy 14430  AUKV @ 140.12 #+15145556866
Buy 14350  AUKV @ 141.11 #+15145555498
Sell 14130  AUKV @ 144.92 #+15145552616
Buy 11310  AUKV @ 142.9 #+15145559513
Buy 10320  AUKV @ 142.78 #+15145554341
Buy 17020  AUKV @ 142.13 #+15145557045
Buy 16150  AUKV @ 139.09 #+15145557923
Buy 15760  AUKV @ 140.66 #+15145553967
Sell 17570  AUKV @ 142.16 #+15145551432
Sell 29530  AUKV @ 142.8 #+15145556877
Buy 26770  AUKV @ 143.44 #+15145556190
Buy 20140  AUKV @ 142.15 #+15145556789
Buy 15610  AUKV @ 142.81 #+15145551449
Sell 20830  AUKV @ 140.93 #+15145558032
Sell 28680  AUKV @ 147.96 #+15145553129
Buy 25100  AUKV @ 150.37 #+15145555519
Sell 22520  AUKV @ 148.97 #+15145559182
Buy 28630  AUKV @ 143.95 #+15145555898
Sell 22030  AUKV @ 143.22 #+15145553397
Buy 18250  AUKV @ 144.4 #+15145552558
Sell 18750  AUKV @ 147.61 #+15145550383
Buy 23750  AUKV @ 150.24 #+15145559695
Sell 20820  AUKV @ 149.52 #+15145551841
Buy 27460  AUKV @ 147.99 #+15145552260
Sell 29450  AUKV @ 152.05 #+15145555908
Buy 28420  AUKV @ 149.78 #+15145555573
Sell 20770  AUKV @ 150.75 #+15145553164
Buy 16850  AUKV @ 151.51 #+15145558041
Buy 26480  AUKV @ 151.78 #+15145554460
Sell 18120  AUKV @ 150.24 #+15145551813
Buy 35210  AUKV @ 150.39 #+15145559243
Sell 22500  AUKV @ 145.53 #+15145557073
Buy 14060  AUKV @ 141.19 #+15145559357
Buy 30130  AUKV @ 139.59 #+15145551078
Sell 38680  AUKV @ 143.94 #+15145555731
Sell 25420  AUKV @ 140.62 #+15145559844
Sell 30520  AUKV @ 138.93 #+15145557211
Buy 43180  AUKV @ 139.56 #+15145559988
Buy 31190  AUKV @ 136.98 #+15145554973
Sell 36620  AUKV @ 137.03 #+15145550597
Buy 31080  AUKV @ 134.29 #+15145551367
Sell 11310  AUKV @ 135.2 #+15145551676
Sell 14610  AUKV @ 140.86 #+15145557770
Buy 21080  AUKV @ 137.65 #+15145556249
Buy 18950  AUKV @ 132.03 #+15145558239
Sell 11880  AUKV @ 130.85 #+15145556796
Sell 21420  AUKV @ 131.41 #+15145556512
Buy 21310  AUKV @ 132.41 #+15145559442
Sell 21330  AUKV @ 129.17 #+15145557139
Buy 10540  AUKV @ 128.02 #+15145550190
Sell 20630  AUKV @ 129.5 #+15145555796
Sell 16180  AUKV @ 131.37 #+15145550727
Buy 20660  AUKV @ 131.05 #+15145555141
Buy 35790  AUKV @ 133.89 #+15145550985
Sell 27470  AUKV @ 132.98 #+15145553981
Buy 23470  AUKV @ 130.75 #+15145553402
Buy 33870  AUKV @ 126.87 #+15145552394
Buy 22650  AUKV @ 126.09 #+15145558873
Buy 29330  AUKV @ 126.01 #+15145554307
Buy 34370  AUKV @ 124.99 #+15145556473
Buy 29360  AUKV @ 119.88 #+15145555212
Buy 16660  AUKV @ 119.41 #+15145559918
Buy 22030  AUKV @ 119.93 #+15145559944
Sell 30620  AUKV @ 118.93 #+15145556186
Sell 20800  AUKV @ 118.43 #+15145558598
Sell 16350  AUKV @ 118.74 #+15145552582
Buy 18080  AUKV @ 119.22 #+15145559941
Sell 15370  AUKV @ 117.23 #+15145559032
Sell 20310  AUKV @ 116.54 #+15145552863
Sell 20660  AUKV @ 116.05 #+15145550813
Buy 14400  AUKV @ 121.45 #+15145555023
Buy 23260  AUKV @ 121.93 #+15145555437
Sell 31250  AUKV @ 122.88 #+15145550412
Sell 17570  AUKV @ 125.34 #+15145553432
Sell 19330  AUKV @ 119.57 #+15145550551
Sell 12050  AUKV @ 122.46 #+15145558240
Buy 29810  AUKV @ 120.43 #+15145558849
Buy 29670  AUKV @ 120.19 #+15145551881
Sell 18860  AUKV @ 119.49 #+15145556980
Buy 19770  AUKV @ 119.07 #+15145553896
Sell 36250  AUKV @ 117.79 #+15145554731
Sell 35540  AUKV @ 117.66 #+15145559957
Sell 14390  AUKV @ 115.84 #+15145558894
Sell 24530  AUKV @ 115.55 #+15145556980
Sell 14770  AUKV @ 117.38 #+15145558955
Buy 18750  AUKV @ 119.16 #+15145559977
Sell 25570  AUKV @ 119.87 #+15145558618
Sell 22220  AUKV @ 121.21 #+15145550113
Sell 13650  AUKV @ 119.84 #+15145552857
Sell 9760  AUKV @ 119.55 #+15145551295
Buy 14080  AUKV @ 117.09 #+15145557263
Sell 22310  AUKV @ 118.12 #+15145557889
Buy 16970  AUKV @ 116.48 #+15145554480
Sell 73330  AUKV @ 120.62 #+15145553636
Buy 13940  AUKV @ 121.15 #+15145556275
Sell 16500  AUKV @ 122.16 #+15145558042
Sell 17110  AUKV @ 121.33 #+15145555907
Sell 37550  AUKV @ 117.91 #+15145555858
Buy 34100  AUKV @ 115.87 #+15145551400
Buy 16100  AUKV @ 118.42 #+15145558979
