Parallel {
Buy 8850  AUKV @ 91.77 #+15145559425
Sell 97150  AGOG @ 113.35 #+15145550065
Sell 8460  AVAB @ 93.26 #+15145552192
Buy 5680  AUKV @ 90.1 #+15145554914
Buy 7170  AVAB @ 94.74 #+15145552468
Sell 12430  AKZOY @ 92.05 #+15145553678
Buy 9470  AUKV @ 93.4 #+15145554995
Sell 580  ABLE @ 19.98 #+15145558669
Buy 910  ABLE @ 19.99 #+15145550623
Buy 900  ABLE @ 20.05 #+15145553079
Sell 44440  AGOG @ 113.47 #+15145556133
Buy 16370  AVAB @ 93.27 #+15145556090
Buy 780  ABLE @ 20.36 #+15145558234
Buy 10330  AKZOY @ 91.87 #+15145559938
Sell 12780  AVAB @ 94.71 #+15145552048
Buy 11540  AUKV @ 94.22 #+15145558607
Buy 14460  AVAB @ 93.99 #+15145559032
Sell 20880  AVAB @ 93.42 #+15145555731
Buy 4790  AVAB @ 95.44 #+15145550388
Sell 9380  AVAB @ 94.27 #+15145550633
Sell 7870  AKZOY @ 91.61 #+15145553014
Sell 4640  AVAB @ 93.01 #+15145552483
Buy 43120  AGOG @ 111.83 #+15145550283
Sell 12540  AUKV @ 92.24 #+15145551941
Sell 13680  AUKV @ 94.65 #+15145557882
Sell 690  ABLE @ 20.15 #+15145559439
Sell 770  ABLE @ 19.73 #+15145557440
Sell 10820  AVAB @ 94.23 #+15145555225
Sell 760  ABLE @ 19.47 #+15145556295
Buy 10440  AVAB @ 94.31 #+15145557545
Buy 30230  AGOG @ 110.96 #+15145556828
Buy 45770  AGOG @ 110.05 #+15145556091
Buy 10510  AKZOY @ 91.65 #+15145552388
Sell 12420  AVAB @ 90.1 #+15145550307
Buy 12270  AUKV @ 94.62 #+15145555386
Sell 12110  AKZOY @ 91.6 #+15145558966
Sell 12930  AUKV @ 92.92 #+15145550555
Sell 670  ABLE @ 19.66 #+15145557326
Sell 21270  AGOG @ 110.64 #+15145557218
Sell 8440  AUKV @ 92.79 #+15145551850
Buy 20160  AUKV @ 97.63 #+15145554232
Buy 9230  AUKV @ 100.17 #+15145553597
Sell 6570  AVAB @ 93.4 #+15145555489
Sell 4840  AKZOY @ 91.08 #+15145552174
Buy 8860  AVAB @ 94.22 #+15145555692
Sell 14840  AVAB @ 92.24 #+15145556245
Sell 25080  AGOG @ 111.44 #+15145552679
Buy 550  ABLE @ 19.69 #+15145552668
Sell 7250  AUKV @ 101.28 #+15145555339
Sell 16040  AVAB @ 94.65 #+15145550019
Buy 7070  AKZOY @ 90.88 #+15145552856
Sell 5340  AKZOY @ 90.21 #+15145556232
Buy 810  ABLE @ 19.34 #+15145550705
Buy 24460  AGOG @ 111.46 #+15145550680
Sell 3790  AUKV @ 99.07 #+15145555990
Buy 5450  AUKV @ 99.98 #+15145555785
Sell 13620  AVAB @ 94.62 #+15145558871
Buy 49320  AGOG @ 108.04 #+15145554290
Buy 60430  AGOG @ 111.47 #+15145556497
Buy 7570  AUKV @ 106.82 #+15145550814
Buy 32010  AGOG @ 111.02 #+15145550324
Sell 5290  AUKV @ 105.39 #+15145551596
Buy 5390  AKZOY @ 90.64 #+15145550273
Sell 21760  AGOG @ 110.49 #+15145559998
Buy 8280  AVAB @ 92.92 #+15145553771
Buy 27240  AGOG @ 111.27 #+15145559941
Sell 700  ABLE @ 19.44 #+15145554641
Buy 7510  AUKV @ 104.5 #+15145553046
Buy 3270  AUKV @ 105.83 #+15145559354
Buy 620  ABLE @ 19.81 #+15145558304
Buy 13130  AUKV @ 102.7 #+15145553323
Buy 6480  AKZOY @ 90.75 #+15145552453
Sell 12400  AVAB @ 92.79 #+15145558465
Sell 12430  AVAB @ 97.63 #+15145557553
Sell 470  ABLE @ 19.93 #+15145556265
Sell 9690  AVAB @ 100.17 #+15145557567
Sell 13900  AUKV @ 102.3 #+15145554060
Buy 7040  AVAB @ 101.28 #+15145554208
Buy 56810  AGOG @ 110.81 #+15145552612
Sell 15110  AUKV @ 101.97 #+15145555094
Buy 1100  ABLE @ 19.63 #+15145558308
Sell 18970  AUKV @ 102.17 #+15145557024
Sell 12280  AVAB @ 99.07 #+15145555941
Buy 5360  AKZOY @ 91 #+15145553588
Sell 540  ABLE @ 19.59 #+15145551476
Sell 9800  AVAB @ 99.98 #+15145552268
Sell 58540  AGOG @ 111.34 #+15145552122
Sell 9660  AUKV @ 104.38 #+15145550215
Sell 690  ABLE @ 20 #+15145555080
Sell 9380  AUKV @ 102.49 #+15145551031
Sell 3600  AUKV @ 101.18 #+15145555138
Sell 37380  AGOG @ 110.81 #+15145553728
Sell 4920  AKZOY @ 90.92 #+15145551571
Sell 6110  AVAB @ 106.82 #+15145551707
Buy 19920  AGOG @ 111.55 #+15145552946
Buy 8630  AVAB @ 105.39 #+15145554684
Buy 470  ABLE @ 19.79 #+15145551667
Sell 4720  AKZOY @ 91.22 #+15145551446
Sell 9180  AVAB @ 104.5 #+15145556321
Sell 11550  AUKV @ 103.55 #+15145555669
Sell 32690  AGOG @ 110.68 #+15145557841
Sell 520  ABLE @ 19.67 #+15145558563
Buy 60000  AGOG @ 109.93 #+15145555226
Buy 670  ABLE @ 19.46 #+15145554371
Buy 3500  AKZOY @ 90.77 #+15145550870
Buy 11970  AVAB @ 105.83 #+15145555958
Buy 10970  AUKV @ 103.19 #+15145557230
Buy 8050  AUKV @ 105.99 #+15145559590
Sell 93940  AGOG @ 110.35 #+15145557423
Buy 9050  AVAB @ 102.7 #+15145557622
Sell 7100  AKZOY @ 90.75 #+15145553808
Buy 14870  AUKV @ 104.22 #+15145553135
Buy 3790  AKZOY @ 90.6 #+15145557408
Sell 77320  AGOG @ 110.22 #+15145559558
Buy 54290  AGOG @ 109.3 #+15145550254
Buy 600  ABLE @ 19.68 #+15145554124
Sell 6540  AVAB @ 102.3 #+15145558582
Buy 21590  AVAB @ 101.97 #+15145552463
Buy 7460  AUKV @ 107.26 #+15145559936
Buy 10230  AUKV @ 112.26 #+15145556818
Buy 3450  AKZOY @ 90.74 #+15145556328
Sell 6760  AKZOY @ 90.8 #+15145550090
Buy 670  ABLE @ 19.97 #+15145558330
Sell 15140  AVAB @ 102.17 #+15145553780
Sell 20500  AGOG @ 108.31 #+15145553604
Sell 17840  AGOG @ 108.45 #+15145554482
Buy 25390  AGOG @ 105.37 #+15145552275
Buy 29160  AGOG @ 108.99 #+15145555393
Buy 30990  AGOG @ 109.01 #+15145559931
Buy 35880  AGOG @ 108.14 #+15145552213
Buy 570  ABLE @ 20.07 #+15145558208
Buy 12720  AUKV @ 113.16 #+15145554743
Buy 4460  AKZOY @ 90.47 #+15145556343
Sell 9040  AUKV @ 115.05 #+15145557587
Buy 490  ABLE @ 20.35 #+15145559854
Sell 21790  AGOG @ 106.65 #+15145555454
Buy 4460  AUKV @ 116.82 #+15145553639
Buy 4390  AVAB @ 104.38 #+15145558289
Buy 5020  AKZOY @ 90.01 #+15145557544
Buy 540  ABLE @ 20 #+15145558200
Buy 12210  AUKV @ 119.98 #+15145557595
Sell 3840  AKZOY @ 90.48 #+15145552540
Buy 24960  AGOG @ 108.1 #+15145557182
Sell 600  ABLE @ 20.04 #+15145554994
Sell 10740  AUKV @ 120.03 #+15145556853
Buy 10690  AVAB @ 102.49 #+15145556773
Buy 3110  AVAB @ 101.18 #+15145557818
Buy 5450  AKZOY @ 90.08 #+15145552563
Sell 14070  AUKV @ 122.46 #+15145554995
Sell 17180  AGOG @ 110.79 #+15145553092
Sell 14190  AGOG @ 108.09 #+15145558702
Sell 4880  AKZOY @ 90.18 #+15145558192
Buy 5340  AKZOY @ 90.13 #+15145555260
Sell 440  ABLE @ 19.89 #+15145550633
Buy 10480  AKZOY @ 90.59 #+15145559686
Buy 520  ABLE @ 19.78 #+15145551980
Buy 640  ABLE @ 19.76 #+15145555583
Sell 6920  AVAB @ 103.55 #+15145559827
Sell 11910  AVAB @ 103.19 #+15145552465
Buy 670  ABLE @ 19.67 #+15145555866
Buy 640  ABLE @ 19.88 #+15145557109
Buy 26180  AGOG @ 108.51 #+15145550033
Buy 30440  AGOG @ 107.47 #+15145558210
Buy 690  ABLE @ 19.78 #+15145552143
Buy 9270  AUKV @ 120.86 #+15145559827
Buy 11110  AVAB @ 105.99 #+15145559785
Buy 5830  AVAB @ 104.22 #+15145550139
Buy 6410  AKZOY @ 90.89 #+15145559727
Sell 2680  AVAB @ 107.26 #+15145555038
Buy 4280  AKZOY @ 90.63 #+15145554943
Buy 6480  AUKV @ 117.69 #+15145556903
Buy 17000  AGOG @ 107.46 #+15145559664
Sell 7060  AVAB @ 112.26 #+15145559903
Sell 5930  AUKV @ 117.19 #+15145552951
Sell 25580  AGOG @ 107.89 #+15145551408
Sell 7550  AUKV @ 123.79 #+15145554564
Sell 12800  AVAB @ 113.16 #+15145556105
Buy 4480  AVAB @ 115.05 #+15145555550
Buy 7840  AKZOY @ 90.47 #+15145559776
Sell 25680  AGOG @ 107.59 #+15145557121
Buy 720  ABLE @ 19.48 #+15145553045
Buy 8690  AUKV @ 120.55 #+15145556435
Buy 11030  AUKV @ 121.7 #+15145556846
Buy 1400  ABLE @ 19.53 #+15145559717
Buy 2530  AVAB @ 116.82 #+15145554862
Buy 6200  AVAB @ 119.98 #+15145550231
Sell 10870  AUKV @ 116.7 #+15145559358
Sell 48470  AGOG @ 107.65 #+15145556926
Sell 1500  ABLE @ 19.61 #+15145551485
Buy 6060  AKZOY @ 90.9 #+15145552396
Sell 4730  AUKV @ 120.04 #+15145559080
Sell 51090  AGOG @ 107.06 #+15145553881
Buy 48020  AGOG @ 106.98 #+15145554511
Sell 7610  AVAB @ 120.03 #+15145556674
Buy 4560  AKZOY @ 90.64 #+15145551587
Buy 510  ABLE @ 19.42 #+15145555664
Buy 47480  AGOG @ 105.72 #+15145552270
Buy 59560  AGOG @ 105.28 #+15145559960
Buy 16120  AVAB @ 122.46 #+15145555274
Sell 47060  AGOG @ 104.83 #+15145555306
Sell 550  ABLE @ 19.45 #+15145550876
Buy 14460  AVAB @ 120.86 #+15145550793
Buy 7540  AVAB @ 117.69 #+15145552998
Sell 2850  AVAB @ 117.19 #+15145551232
Buy 39420  AGOG @ 106.81 #+15145558187
Sell 760  ABLE @ 19.53 #+15145558935
Sell 12200  AUKV @ 121.58 #+15145557098
Sell 26160  AGOG @ 104.8 #+15145555970
Buy 25650  AGOG @ 106 #+15145557134
Sell 26850  AGOG @ 106.18 #+15145551158
Sell 7070  AVAB @ 123.79 #+15145553386
Sell 8730  AUKV @ 122.07 #+15145556866
Sell 510  ABLE @ 19.51 #+15145552652
Buy 7310  AKZOY @ 90.49 #+15145559850
Sell 910  ABLE @ 19.39 #+15145554087
Buy 67670  AGOG @ 106.59 #+15145556571
Buy 6250  AKZOY @ 89.8 #+15145557079
Buy 1390  ABLE @ 19.3 #+15145559840
Sell 7640  AVAB @ 120.55 #+15145550982
Sell 6950  AUKV @ 120.36 #+15145551385
Buy 9700  AUKV @ 117.93 #+15145555937
Sell 8360  AUKV @ 114.46 #+15145552532
Buy 10220  AVAB @ 121.7 #+15145558849
Buy 4960  AKZOY @ 90 #+15145554360
Sell 20620  AGOG @ 103.36 #+15145553894
Sell 5410  AVAB @ 116.7 #+15145554699
Sell 20550  AGOG @ 106.66 #+15145555346
Sell 1250  ABLE @ 19.47 #+15145558386
Buy 5060  AVAB @ 120.04 #+15145559914
Buy 1580  ABLE @ 19.38 #+15145556435
Buy 3040  AVAB @ 121.58 #+15145552169
Buy 6880  AKZOY @ 89.51 #+15145557899
Buy 10370  AUKV @ 113.32 #+15145557262
Buy 20930  AGOG @ 106.37 #+15145554679
Sell 6170  AKZOY @ 89.37 #+15145551183
Buy 4440  AKZOY @ 89.24 #+15145558545
Sell 4630  AVAB @ 122.07 #+15145551001
Buy 6750  AUKV @ 115.24 #+15145552959
Sell 5330  AUKV @ 117.89 #+15145552587
Buy 8710  AUKV @ 112.38 #+15145555179
Sell 13720  AUKV @ 113.61 #+15145550521
Buy 5240  AKZOY @ 89.23 #+15145550816
Buy 5040  AKZOY @ 89.08 #+15145554816
Sell 1180  ABLE @ 19.34 #+15145559539
Sell 11680  AUKV @ 111.73 #+15145552697
Sell 1100  ABLE @ 19.22 #+15145555898
Buy 16720  AGOG @ 107.48 #+15145552973
Sell 30120  AGOG @ 104.78 #+15145551893
Sell 4490  AKZOY @ 89.39 #+15145550189
Buy 3820  AKZOY @ 89.13 #+15145551232
Sell 3820  AKZOY @ 89.21 #+15145555832
Sell 5650  AVAB @ 120.36 #+15145550370
Sell 11630  AVAB @ 117.93 #+15145554106
Sell 4570  AUKV @ 111.75 #+15145555759
Buy 670  ABLE @ 19.07 #+15145558461
Sell 570  ABLE @ 19.17 #+15145553861
Buy 3110  AUKV @ 111.29 #+15145556803
Buy 580  ABLE @ 19.11 #+15145557928
Sell 30480  AGOG @ 106.64 #+15145552097
Buy 63060  AGOG @ 108.91 #+15145556224
Sell 3870  AKZOY @ 89.19 #+15145556414
Buy 660  ABLE @ 19.11 #+15145554116
Buy 30130  AGOG @ 105.44 #+15145555580
Sell 6200  AVAB @ 114.46 #+15145558304
Buy 7320  AUKV @ 115.93 #+15145553023
Buy 13540  AUKV @ 112.37 #+15145556768
Sell 440  ABLE @ 19.17 #+15145558572
Buy 9690  AUKV @ 111.34 #+15145552961
Sell 4510  AVAB @ 113.32 #+15145558440
Sell 580  ABLE @ 19.17 #+15145556160
Buy 24490  AGOG @ 107.3 #+15145554689
Sell 430  ABLE @ 18.77 #+15145554802
Buy 8430  AVAB @ 115.24 #+15145550224
Buy 8340  AUKV @ 112.71 #+15145552947
Buy 10650  AUKV @ 111.89 #+15145551256
Buy 11390  AVAB @ 117.89 #+15145551945
Sell 14920  AUKV @ 109.12 #+15145555152
Buy 13840  AUKV @ 110.19 #+15145559743
Sell 19740  AGOG @ 106.69 #+15145554673
Buy 27070  AGOG @ 107.33 #+15145551642
Buy 490  ABLE @ 18.47 #+15145550702
Sell 16640  AGOG @ 106.03 #+15145554891
Buy 22790  AGOG @ 107.19 #+15145558851
Buy 13560  AVAB @ 112.38 #+15145554638
Buy 5180  AUKV @ 111.69 #+15145556703
Buy 10930  AUKV @ 114.18 #+15145550591
Buy 15570  AVAB @ 113.61 #+15145552260
Buy 450  ABLE @ 18.54 #+15145550819
Buy 7640  AKZOY @ 89.6 #+15145557005
Sell 4530  AVAB @ 111.73 #+15145553650
Sell 21480  AGOG @ 106.76 #+15145553702
Sell 490  ABLE @ 18.71 #+15145557721
Buy 8670  AVAB @ 111.75 #+15145555934
Sell 8200  AKZOY @ 89.26 #+15145558669
Buy 8600  AUKV @ 113.52 #+15145559876
Buy 590  ABLE @ 18.57 #+15145553028
Buy 14360  AGOG @ 106.9 #+15145558291
Sell 20990  AGOG @ 106.47 #+15145555120
Buy 10410  AUKV @ 118.06 #+15145556507
Buy 6320  AKZOY @ 89.88 #+15145559273
Buy 1320  ABLE @ 18.35 #+15145555976
Sell 18280  AGOG @ 110.65 #+15145557546
Buy 20480  AGOG @ 107.29 #+15145556407
Buy 17810  AUKV @ 119.85 #+15145553434
Buy 16270  AGOG @ 108.46 #+15145558722
Buy 8610  AUKV @ 120.72 #+15145559670
Buy 880  ABLE @ 18.56 #+15145552652
Sell 4490  AVAB @ 111.29 #+15145558566
Sell 4520  AKZOY @ 90.1 #+15145558122
Sell 530  ABLE @ 18.57 #+15145558923
Buy 13060  AVAB @ 115.93 #+15145556305
Buy 6220  AVAB @ 112.37 #+15145552747
Sell 460  ABLE @ 18.45 #+15145552730
Sell 34900  AGOG @ 106.74 #+15145555684
Buy 13010  AVAB @ 111.34 #+15145553204
Sell 25460  AGOG @ 107.01 #+15145552462
Sell 11030  AVAB @ 112.71 #+15145559800
Buy 2880  AKZOY @ 89.98 #+15145558280
Buy 10720  AUKV @ 121.24 #+15145551384
Buy 13550  AVAB @ 111.89 #+15145559998
Sell 16050  AGOG @ 106.09 #+15145552059
Buy 20960  AUKV @ 122.08 #+15145550646
Sell 13830  AGOG @ 103.58 #+15145552695
Sell 400  ABLE @ 18.31 #+15145553828
Sell 500  ABLE @ 18.36 #+15145556984
Buy 13360  AVAB @ 109.12 #+15145558391
Buy 4780  AKZOY @ 89.85 #+15145550448
Buy 25340  AGOG @ 105.9 #+15145555870
Buy 470  ABLE @ 18.7 #+15145555506
Buy 3740  AKZOY @ 89.87 #+15145552239
Buy 430  ABLE @ 18.8 #+15145555578
Sell 590  ABLE @ 18.58 #+15145557795
Buy 580  ABLE @ 18.52 #+15145555504
Buy 450  ABLE @ 18.79 #+15145557045
Sell 510  ABLE @ 18.84 #+15145555037
Sell 510  ABLE @ 18.66 #+15145552093
Sell 5880  AKZOY @ 90.34 #+15145556420
Sell 380  ABLE @ 18.7 #+15145551062
Buy 8020  AVAB @ 110.19 #+15145556954
Buy 32490  AGOG @ 105.92 #+15145553210
Buy 6090  AKZOY @ 89.87 #+15145554951
Buy 30080  AGOG @ 105.92 #+15145554100
Sell 14090  AVAB @ 111.69 #+15145556483
Sell 20990  AUKV @ 121.45 #+15145550695
Sell 17500  AGOG @ 105.98 #+15145553658
Buy 480  ABLE @ 18.45 #+15145556419
Sell 32640  AGOG @ 107.71 #+15145552012
Sell 14530  AUKV @ 122.41 #+15145555792
Sell 6260  AVAB @ 114.18 #+15145558560
Sell 5910  AVAB @ 113.52 #+15145557528
Sell 22960  AGOG @ 104.59 #+15145554337
Buy 5770  AKZOY @ 89.68 #+15145555193
Sell 24440  AGOG @ 105.25 #+15145557787
Sell 14680  AUKV @ 123.27 #+15145550398
Buy 6000  AKZOY @ 89.57 #+15145552591
Sell 41280  AGOG @ 105.73 #+15145558909
Buy 8780  AVAB @ 118.06 #+15145550593
Buy 5040  AKZOY @ 89.4 #+15145553613
Buy 21990  AGOG @ 105.1 #+15145550820
Sell 7140  AUKV @ 122.33 #+15145556838
Buy 14580  AGOG @ 105.56 #+15145555221
Sell 13120  AVAB @ 119.85 #+15145558391
Sell 3900  AUKV @ 119.56 #+15145552029
Buy 5910  AUKV @ 125.43 #+15145556492
Buy 9560  AKZOY @ 89.26 #+15145555929
Buy 440  ABLE @ 18.8 #+15145552224
Buy 14000  AVAB @ 120.72 #+15145553520
Buy 7720  AKZOY @ 89.11 #+15145554206
Buy 4750  AKZOY @ 88.69 #+15145554843
Sell 11240  AVAB @ 121.24 #+15145557650
Buy 19450  AGOG @ 108.73 #+15145558919
Buy 440  ABLE @ 18.56 #+15145555069
Buy 4280  AKZOY @ 88.88 #+15145551539
Buy 4670  AKZOY @ 89.09 #+15145557751
Sell 18680  AGOG @ 105.23 #+15145552090
Buy 520  ABLE @ 18.47 #+15145553873
Buy 16250  AVAB @ 122.08 #+15145559092
Sell 390  ABLE @ 18.34 #+15145557076
Buy 3340  AKZOY @ 89.59 #+15145555662
Sell 21980  AGOG @ 105.87 #+15145555832
Buy 530  ABLE @ 18.36 #+15145552235
Buy 22200  AVAB @ 121.45 #+15145557033
Sell 390  ABLE @ 18.1 #+15145553708
Sell 710  ABLE @ 18.04 #+15145556505
Buy 5530  AKZOY @ 89.44 #+15145552974
Buy 480  ABLE @ 18.04 #+15145551297
Buy 520  ABLE @ 17.84 #+15145553649
Sell 16510  AGOG @ 105.15 #+15145555434
Buy 18200  AGOG @ 105.47 #+15145559724
Sell 4910  AUKV @ 127.76 #+15145559679
Sell 4840  AKZOY @ 89.66 #+15145555924
Buy 10310  AVAB @ 122.41 #+15145558500
Buy 700  ABLE @ 17.66 #+15145555350
Sell 500  ABLE @ 17.38 #+15145553103
Buy 22230  AGOG @ 106.22 #+15145553556
Buy 4940  AKZOY @ 90.19 #+15145550742
Buy 6480  AVAB @ 123.27 #+15145550659
Buy 5760  AKZOY @ 89.79 #+15145556201
Buy 7570  AUKV @ 122.41 #+15145550269
Buy 6250  AKZOY @ 89.87 #+15145551697
Buy 21000  AGOG @ 105.31 #+15145558827
Sell 460  ABLE @ 17.51 #+15145559263
Buy 2560  AVAB @ 122.33 #+15145557117
Buy 40280  AGOG @ 105.5 #+15145555951
Sell 30240  AGOG @ 106.48 #+15145555981
Buy 20090  AGOG @ 105.86 #+15145556539
Sell 4280  AKZOY @ 90.23 #+15145559293
Buy 7540  AVAB @ 119.56 #+15145553840
Buy 4300  AKZOY @ 90.68 #+15145556844
Buy 5000  AKZOY @ 90.08 #+15145559110
Buy 420  ABLE @ 17.53 #+15145555825
Sell 23990  AGOG @ 105.36 #+15145558523
Sell 11950  AVAB @ 125.43 #+15145558525
Buy 10630  AUKV @ 119.81 #+15145559154
Buy 6140  AVAB @ 127.76 #+15145551351
Sell 380  ABLE @ 17.74 #+15145554422
Buy 3090  AUKV @ 120.33 #+15145552336
Buy 410  ABLE @ 17.68 #+15145556940
Sell 7610  AUKV @ 121.41 #+15145556777
Sell 10830  AUKV @ 120.93 #+15145556557
Sell 34160  AGOG @ 105.32 #+15145554528
Buy 360  ABLE @ 17.8 #+15145554260
Sell 520  ABLE @ 17.69 #+15145558704
Sell 7930  AVAB @ 122.41 #+15145556184
Sell 6380  AVAB @ 119.81 #+15145557635
Buy 5820  AKZOY @ 90.81 #+15145551697
Buy 7810  AUKV @ 120.75 #+15145557428
Buy 3960  AVAB @ 120.33 #+15145554395
Sell 7310  AUKV @ 118.25 #+15145554134
Buy 4800  AKZOY @ 91.54 #+15145557703
Buy 5050  AKZOY @ 91.63 #+15145551989
Sell 7500  AKZOY @ 91.75 #+15145551020
Buy 6000  AKZOY @ 91.66 #+15145558295
Sell 12290  AUKV @ 117.39 #+15145551979
Buy 6560  AKZOY @ 91.84 #+15145555294
Buy 8810  AVAB @ 121.41 #+15145550296
Sell 23150  AGOG @ 105.2 #+15145550117
