Sell 5590  AVAB @ 91.77 #+15145554734
Sell 8280  AVAB @ 129.54 #+15145559430
Buy 10080  AVAB @ 129.86 #+15145559600
Buy 7690  AVAB @ 130.67 #+15145557419
Buy 11450  AVAB @ 129.92 #+15145557224
Sell 9700  AVAB @ 129.21 #+15145558988
Buy 14560  AVAB @ 132.05 #+15145558994
Sell 10320  AVAB @ 130.76 #+15145556152
Buy 11640  AVAB @ 127.81 #+15145554495
Sell 18350  AVAB @ 128.75 #+15145551155
Sell 14050  AVAB @ 127.5 #+15145551373
Buy 9570  AVAB @ 130.97 #+15145554651
Sell 4940  AVAB @ 129.62 #+15145552355
Sell 15000  AVAB @ 136.35 #+15145553313
Sell 8610  AVAB @ 138.84 #+15145557810
Buy 14310  AVAB @ 140.05 #+15145550516
Buy 12820  AVAB @ 141.39 #+15145550484
Buy 10640  AVAB @ 143.77 #+15145554001
Sell 8360  AVAB @ 142.65 #+15145551374
Sell 9620  AVAB @ 143.24 #+15145558308
Sell 9470  AVAB @ 143.63 #+15145557062
Buy 6280  AVAB @ 149.94 #+15145554626
Buy 8400  AVAB @ 151 #+15145551890
Buy 7890  AVAB @ 149.8 #+15145550710
Buy 13640  AVAB @ 147.61 #+15145557249
Sell 6860  AVAB @ 150.18 #+15145554420
Buy 7030  AVAB @ 148.69 #+15145550356
Buy 10130  AVAB @ 147.84 #+15145556604
Buy 7330  AVAB @ 150.09 #+15145553486
Sell 12470  AVAB @ 147.71 #+15145558397
Buy 8510  AVAB @ 153.48 #+15145556979
Sell 15540  AVAB @ 154.41 #+15145554531
Sell 11560  AVAB @ 153.85 #+15145553798
Buy 28660  AVAB @ 150.87 #+15145557157
Buy 20580  AVAB @ 150.01 #+15145550883
Sell 16070  AVAB @ 152.04 #+15145553844
Buy 28420  AVAB @ 150.4 #+15145557248
Buy 15710  AVAB @ 158.53 #+15145559975
Sell 10940  AVAB @ 160.92 #+15145552709
Sell 14750  AVAB @ 160.91 #+15145558391
Sell 20240  AVAB @ 162.45 #+15145556774
Buy 14750  AVAB @ 157.65 #+15145554268
Sell 15020  AVAB @ 161.76 #+15145553986
Buy 15430  AVAB @ 156.71 #+15145550545
Buy 15540  AVAB @ 157.06 #+15145559459
Buy 18440  AVAB @ 161.12 #+15145558143
Sell 18790  AVAB @ 159.31 #+15145556179
Buy 20170  AVAB @ 158.43 #+15145553824
Sell 23330  AVAB @ 152.68 #+15145558276
Sell 20330  AVAB @ 150.06 #+15145557514
Sell 10500  AVAB @ 159.54 #+15145555465
Buy 13890  AVAB @ 152.16 #+15145551224
Sell 7660  AVAB @ 153.18 #+15145559404
Sell 8830  AVAB @ 145.05 #+15145553789
Sell 8320  AVAB @ 145.37 #+15145552812
Sell 15780  AVAB @ 145.85 #+15145552090
Buy 9070  AVAB @ 147.01 #+15145559405
Sell 12090  AVAB @ 146.27 #+15145551517
Sell 8180  AVAB @ 146.21 #+15145556581
Buy 9420  AVAB @ 145.63 #+15145559065
Buy 6220  AVAB @ 144.29 #+15145558721
Sell 7030  AVAB @ 137.64 #+15145556003
Sell 13000  AVAB @ 134.5 #+15145559025
Sell 8380  AVAB @ 132.96 #+15145555910
Buy 11820  AVAB @ 133.29 #+15145557845
Sell 9990  AVAB @ 136.89 #+15145558636
Sell 13010  AVAB @ 135.54 #+15145559999
Sell 11700  AVAB @ 137.89 #+15145550246
Buy 12590  AVAB @ 139.23 #+15145551700
Buy 10740  AVAB @ 139.66 #+15145558279
Buy 17140  AVAB @ 132.63 #+15145559895
Sell 14660  AVAB @ 129.96 #+15145556086
Buy 14230  AVAB @ 135.26 #+15145554007
Sell 10160  AVAB @ 133.43 #+15145558036
Buy 8260  AVAB @ 129.9 #+15145556552
Buy 6790  AVAB @ 131.95 #+15145556155
Buy 13100  AVAB @ 131.45 #+15145555352
Buy 15670  AVAB @ 136.84 #+15145551478
Buy 14620  AVAB @ 137.97 #+15145550490
Buy 17370  AVAB @ 144.68 #+15145550110
Sell 11440  AVAB @ 147.63 #+15145553464
Buy 7020  AVAB @ 149.92 #+15145550908
Buy 13190  AVAB @ 144.57 #+15145551744
Sell 10210  AVAB @ 141.71 #+15145555245
Sell 12070  AVAB @ 147.57 #+15145553649
Buy 14960  AVAB @ 145.62 #+15145559778
Buy 10020  AVAB @ 145.5 #+15145553542
Buy 9530  AVAB @ 146.66 #+15145550396
Sell 14590  AVAB @ 145.22 #+15145555564
Sell 21210  AVAB @ 150.17 #+15145551431
Buy 8650  AVAB @ 146.65 #+15145553564
Sell 13360  AVAB @ 143.35 #+15145553445
Buy 16200  AVAB @ 144.33 #+15145553398
Buy 24920  AVAB @ 140.98 #+15145556984
Buy 16700  AVAB @ 138.39 #+15145557397
Buy 8460  AVAB @ 137.26 #+15145559188
Buy 24060  AVAB @ 145.33 #+15145553809
Sell 19760  AVAB @ 149.53 #+15145553016
Sell 24100  AVAB @ 152.62 #+15145557201
Sell 16500  AVAB @ 152.17 #+15145556555
Buy 16940  AVAB @ 155 #+15145556046
Buy 10280  AVAB @ 153.45 #+15145555796
Buy 11730  AVAB @ 152.63 #+15145553410
Sell 25960  AVAB @ 154.11 #+15145559643
Sell 19960  AVAB @ 156.39 #+15145552761
Sell 15660  AVAB @ 153.71 #+15145558172
Buy 12510  AVAB @ 149.56 #+15145559379
Sell 9540  AVAB @ 152.43 #+15145550843
Sell 7440  AVAB @ 147.23 #+15145555108
Sell 11330  AVAB @ 147.43 #+15145550759
Sell 10120  AVAB @ 147.87 #+15145556196
Sell 21840  AVAB @ 141.64 #+15145553212
Sell 29470  AVAB @ 146.35 #+15145555139
Buy 12450  AVAB @ 146.34 #+15145555330
Sell 12650  AVAB @ 143.95 #+15145551848
Buy 14930  AVAB @ 141.92 #+15145552455
Buy 13500  AVAB @ 141.49 #+15145550859
Buy 15360  AVAB @ 142.78 #+15145559530
Buy 15320  AVAB @ 142.74 #+15145556129
Sell 13610  AVAB @ 143.29 #+15145551340
Sell 13330  AVAB @ 146.11 #+15145550970
Sell 15030  AVAB @ 146.26 #+15145553125
Buy 14610  AVAB @ 147.77 #+15145559625
Buy 15010  AVAB @ 149.56 #+15145553947
Buy 12420  AVAB @ 150.08 #+15145557345
Buy 24370  AVAB @ 144.58 #+15145555805
Buy 14500  AVAB @ 146.44 #+15145557768
Buy 9700  AVAB @ 151.75 #+15145559030
Buy 16850  AVAB @ 152.28 #+15145552057
Sell 14730  AVAB @ 153.92 #+15145552869
Buy 11470  AVAB @ 152.91 #+15145558171
Buy 10650  AVAB @ 157.69 #+15145553981
Buy 15120  AVAB @ 153.96 #+15145551252
Sell 10500  AVAB @ 149.17 #+15145551575
Sell 5750  AVAB @ 155.85 #+15145553150
Buy 13200  AVAB @ 152.72 #+15145553150
Buy 9520  AVAB @ 157.2 #+15145551137
Buy 12890  AVAB @ 163.31 #+15145551452
Buy 11960  AVAB @ 168.67 #+15145553418
Buy 5290  AVAB @ 169.7 #+15145550580
Buy 18290  AVAB @ 167.16 #+15145558853
Sell 23000  AVAB @ 170.02 #+15145558443
Sell 15910  AVAB @ 173.19 #+15145557952
Buy 16700  AVAB @ 174.38 #+15145550055
Buy 7100  AVAB @ 171.49 #+15145558563
Buy 13250  AVAB @ 181.15 #+15145551423
Sell 9450  AVAB @ 185.98 #+15145551261
Buy 16790  AVAB @ 184.36 #+15145559168
Buy 8080  AVAB @ 179.52 #+15145555540
Buy 8860  AVAB @ 180.12 #+15145552244
Sell 18190  AVAB @ 176.83 #+15145556455
Buy 18930  AVAB @ 177.73 #+15145551606
Buy 14050  AVAB @ 183.25 #+15145558968
Buy 13180  AVAB @ 187.12 #+15145556853
Sell 4850  AVAB @ 182.52 #+15145552591
Sell 10100  AVAB @ 182.98 #+15145554117
Sell 11610  AVAB @ 185.77 #+15145558028
Sell 16440  AVAB @ 187.45 #+15145557471
Buy 14900  AVAB @ 192.53 #+15145552357
Buy 9170  AVAB @ 199.42 #+15145556192
Buy 11570  AVAB @ 204.25 #+15145553095
Buy 12120  AVAB @ 199.64 #+15145550387
Sell 14880  AVAB @ 194.48 #+15145558915
Buy 13310  AVAB @ 197.05 #+15145556874
Buy 9950  AVAB @ 197.66 #+15145557828
Sell 9110  AVAB @ 196.99 #+15145551855
Sell 13550  AVAB @ 205.11 #+15145552642
Sell 10790  AVAB @ 208.38 #+15145551249
Buy 6440  AVAB @ 218.25 #+15145556748
Sell 7110  AVAB @ 214.8 #+15145559458
Sell 15080  AVAB @ 212.89 #+15145555703
Buy 21480  AVAB @ 210.05 #+15145552742
Buy 18950  AVAB @ 215.28 #+15145552875
Sell 12290  AVAB @ 216.04 #+15145558658
Buy 20330  AVAB @ 214.38 #+15145557321
Sell 13450  AVAB @ 211.19 #+15145558584
Buy 9060  AVAB @ 205.93 #+15145554663
Sell 15630  AVAB @ 200.4 #+15145550526
Sell 13770  AVAB @ 210.62 #+15145556401
Sell 17190  AVAB @ 217.36 #+15145559938
Buy 14880  AVAB @ 222.42 #+15145557914
Sell 8580  AVAB @ 221.96 #+15145554429
Buy 10570  AVAB @ 221.7 #+15145550590
Buy 11310  AVAB @ 218.11 #+15145553658
Sell 13820  AVAB @ 214.33 #+15145555585
Buy 12400  AVAB @ 211.76 #+15145555349
Sell 7590  AVAB @ 214.9 #+15145552807
Sell 13890  AVAB @ 215.83 #+15145559095
Sell 9060  AVAB @ 217.07 #+15145557337
Buy 8140  AVAB @ 210.81 #+15145553549
Buy 9980  AVAB @ 208.92 #+15145554741
Sell 6250  AVAB @ 196.45 #+15145551703
Buy 17870  AVAB @ 196.84 #+15145551185
Sell 10850  AVAB @ 195.43 #+15145556163
Sell 10090  AVAB @ 194.31 #+15145552518
Buy 13540  AVAB @ 193.82 #+15145551322
Sell 9430  AVAB @ 191.48 #+15145557776
Buy 7850  AVAB @ 193.09 #+15145552161
Sell 3630  AVAB @ 194 #+15145551968
Buy 9120  AVAB @ 199.2 #+15145552394
Sell 12110  AVAB @ 199.93 #+15145554535
Sell 10680  AVAB @ 197.29 #+15145554680
Buy 11560  AVAB @ 196.48 #+15145557943
Sell 11650  AVAB @ 193.16 #+15145554962
Sell 8020  AVAB @ 194.36 #+15145552368
Buy 11780  AVAB @ 193.3 #+15145554869
Sell 8210  AVAB @ 194.65 #+15145556885
Buy 10290  AVAB @ 197.65 #+15145555820
Buy 19370  AVAB @ 207.21 #+15145550381
Sell 15500  AVAB @ 206.24 #+15145555951
Sell 9540  AVAB @ 203.07 #+15145558864
Buy 13220  AVAB @ 205.97 #+15145554164
Sell 10890  AVAB @ 206.89 #+15145551622
Buy 12520  AVAB @ 204.15 #+15145553941
Sell 12520  AVAB @ 215.4 #+15145551300
Sell 17430  AVAB @ 217.7 #+15145553311
Buy 13990  AVAB @ 214.15 #+15145551034
Sell 13160  AVAB @ 210.46 #+15145556220
Sell 15570  AVAB @ 217.89 #+15145553344
Buy 11610  AVAB @ 214.18 #+15145554514
Buy 15260  AVAB @ 215.25 #+15145554102
Sell 19990  AVAB @ 216.11 #+15145552711
Buy 10060  AVAB @ 223.5 #+15145553542
Buy 10970  AVAB @ 218.44 #+15145559790
Sell 14510  AVAB @ 217.5 #+15145552145
Sell 10640  AVAB @ 220.87 #+15145556178
Sell 14800  AVAB @ 222.29 #+15145551420
Sell 13250  AVAB @ 220.25 #+15145551328
Sell 17820  AVAB @ 220.15 #+15145551158
Sell 16120  AVAB @ 215.52 #+15145559700
Buy 19250  AVAB @ 216.37 #+15145553470
Sell 25610  AVAB @ 217.16 #+15145555296
Sell 16270  AVAB @ 212.12 #+15145553069
Buy 14540  AVAB @ 218.64 #+15145557740
Sell 10930  AVAB @ 215 #+15145550129
Buy 13950  AVAB @ 209.98 #+15145552332
Sell 10900  AVAB @ 219.99 #+15145556963
Buy 15190  AVAB @ 219.93 #+15145557686
Buy 11930  AVAB @ 216.26 #+15145558653
Buy 13950  AVAB @ 212.75 #+15145550673
Sell 5470  AVAB @ 214.98 #+15145555848
Sell 5850  AVAB @ 209.83 #+15145556655
Buy 13140  AVAB @ 206.32 #+15145559380
Buy 12480  AVAB @ 205.99 #+15145553506
Sell 9970  AVAB @ 209.43 #+15145550629
Buy 13560  AVAB @ 209.98 #+15145558224
Sell 11910  AVAB @ 210.04 #+15145551243
Buy 11020  AVAB @ 210.88 #+15145551605
Sell 5040  AVAB @ 208.22 #+15145554831
Buy 6790  AVAB @ 200.52 #+15145559389
Buy 11050  AVAB @ 201.7 #+15145552029
Sell 10150  AVAB @ 203.52 #+15145555747
Buy 12690  AVAB @ 207.3 #+15145559357
Sell 11760  AVAB @ 211.86 #+15145551079
Buy 6550  AVAB @ 202.87 #+15145553125
Buy 12830  AVAB @ 199.38 #+15145555897
Sell 16330  AVAB @ 189.77 #+15145558481
Sell 15230  AVAB @ 182.1 #+15145558559
Buy 8300  AVAB @ 180.16 #+15145557384
Sell 10100  AVAB @ 175.88 #+15145559275
Buy 8090  AVAB @ 174.21 #+15145555259
Sell 12210  AVAB @ 169.66 #+15145554895
Sell 13060  AVAB @ 170.99 #+15145559966
Sell 7690  AVAB @ 171.17 #+15145555301
Buy 10590  AVAB @ 169.17 #+15145559899
Buy 8990  AVAB @ 165.85 #+15145559000
Buy 9660  AVAB @ 166.4 #+15145552085
Sell 14150  AVAB @ 168.43 #+15145552700
Sell 15710  AVAB @ 175.25 #+15145552867
Buy 14120  AVAB @ 174.02 #+15145550504
Buy 11870  AVAB @ 174.2 #+15145557653
Sell 9080  AVAB @ 176.6 #+15145552153
Buy 7310  AVAB @ 180.43 #+15145555598
Sell 15170  AVAB @ 181.45 #+15145554898
Sell 12230  AVAB @ 182.8 #+15145557758
Buy 11360  AVAB @ 180.44 #+15145552967
Sell 10450  AVAB @ 179.61 #+15145555072
Sell 15010  AVAB @ 178.78 #+15145559101
Sell 14890  AVAB @ 178.69 #+15145550588
Sell 21580  AVAB @ 178.57 #+15145558247
Sell 9840  AVAB @ 173.9 #+15145555201
Buy 17620  AVAB @ 169.9 #+15145551948
Buy 10650  AVAB @ 166.77 #+15145559390
Buy 9310  AVAB @ 170.44 #+15145559458
Buy 10320  AVAB @ 167.43 #+15145555998
Buy 15190  AVAB @ 168.67 #+15145559292
Buy 21570  AVAB @ 165.68 #+15145556624
Sell 17050  AVAB @ 165.74 #+15145556742
Buy 21620  AVAB @ 163.12 #+15145550240
Buy 31680  AVAB @ 167.17 #+15145551319
Buy 20180  AVAB @ 170.74 #+15145557658
Buy 23570  AVAB @ 165.64 #+15145555181
Buy 26200  AVAB @ 162.64 #+15145556447
Sell 21270  AVAB @ 159.32 #+15145550367
Sell 14820  AVAB @ 157.17 #+15145550530
Sell 16400  AVAB @ 153.71 #+15145559245
Buy 18900  AVAB @ 150.38 #+15145557587
Sell 31250  AVAB @ 144.21 #+15145556870
Buy 18450  AVAB @ 149.91 #+15145558661
Buy 9090  AVAB @ 145.78 #+15145558306
Sell 10370  AVAB @ 143.49 #+15145556760
Buy 11530  AVAB @ 143.17 #+15145554768
Sell 14820  AVAB @ 143.98 #+15145551324
Sell 9570  AVAB @ 139.14 #+15145552730
Sell 18830  AVAB @ 139.11 #+15145558687
Sell 19100  AVAB @ 136.68 #+15145559791
Buy 16420  AVAB @ 140.12 #+15145552221
Buy 18760  AVAB @ 141.11 #+15145552573
Sell 15760  AVAB @ 144.92 #+15145552761
Sell 18630  AVAB @ 142.9 #+15145559553
Buy 8730  AVAB @ 142.78 #+15145559027
Sell 14570  AVAB @ 142.13 #+15145555209
Sell 21170  AVAB @ 139.09 #+15145557161
Buy 11590  AVAB @ 140.66 #+15145559511
Sell 16340  AVAB @ 142.16 #+15145552131
Sell 27490  AVAB @ 142.8 #+15145559731
Buy 25650  AVAB @ 143.44 #+15145558022
Buy 14270  AVAB @ 142.15 #+15145559288
Buy 18240  AVAB @ 142.81 #+15145557203
Sell 23130  AVAB @ 140.93 #+15145554351
Buy 30800  AVAB @ 147.96 #+15145550367
Buy 24420  AVAB @ 150.37 #+15145559777
Sell 25440  AVAB @ 148.97 #+15145558602
Buy 31390  AVAB @ 143.95 #+15145551701
Buy 17140  AVAB @ 143.22 #+15145559490
Sell 20070  AVAB @ 144.4 #+15145557509
Buy 14930  AVAB @ 147.61 #+15145550485
Buy 21280  AVAB @ 150.24 #+15145552222
Sell 21700  AVAB @ 149.52 #+15145554585
Sell 25370  AVAB @ 147.99 #+15145554847
Buy 27540  AVAB @ 152.05 #+15145550702
Sell 31200  AVAB @ 149.78 #+15145554917
Buy 14500  AVAB @ 150.75 #+15145551296
Buy 18670  AVAB @ 151.51 #+15145558948
Sell 20240  AVAB @ 151.78 #+15145555181
Sell 21800  AVAB @ 150.24 #+15145556295
Buy 33340  AVAB @ 150.39 #+15145555821
Sell 28060  AVAB @ 145.53 #+15145552084
Buy 12540  AVAB @ 141.19 #+15145555794
Sell 33530  AVAB @ 139.59 #+15145553346
Sell 41390  AVAB @ 143.94 #+15145553253
Sell 20010  AVAB @ 140.62 #+15145554403
Buy 27490  AVAB @ 138.93 #+15145553579
Buy 43250  AVAB @ 139.56 #+15145554893
Buy 31800  AVAB @ 136.98 #+15145555806
Buy 35670  AVAB @ 137.03 #+15145551958
Buy 24440  AVAB @ 134.29 #+15145553970
Sell 14530  AVAB @ 135.2 #+15145559070
Buy 13820  AVAB @ 140.86 #+15145551921
Buy 15140  AVAB @ 137.65 #+15145556951
Sell 16930  AVAB @ 132.03 #+15145551971
Sell 17140  AVAB @ 130.85 #+15145554683
Buy 17870  AVAB @ 131.41 #+15145550014
Buy 24560  AVAB @ 132.41 #+15145557188
Buy 12120  AVAB @ 129.17 #+15145557425
Sell 6760  AVAB @ 128.02 #+15145551881
Buy 19660  AVAB @ 129.5 #+15145559956
Sell 18020  AVAB @ 131.37 #+15145552020
Sell 23980  AVAB @ 131.05 #+15145551161
Sell 29670  AVAB @ 133.89 #+15145553416
Sell 20200  AVAB @ 132.98 #+15145556990
Sell 20110  AVAB @ 130.75 #+15145558869
Buy 35730  AVAB @ 126.87 #+15145556355
Sell 24910  AVAB @ 126.09 #+15145559122
Sell 32480  AVAB @ 126.01 #+15145557399
Buy 33020  AVAB @ 124.99 #+15145558446
Sell 23510  AVAB @ 119.88 #+15145551759
Buy 9120  AVAB @ 119.41 #+15145559939
Sell 24410  AVAB @ 119.93 #+15145552984
Buy 24590  AVAB @ 118.93 #+15145552901
Buy 22040  AVAB @ 118.43 #+15145552422
Sell 12330  AVAB @ 118.74 #+15145553100
Buy 13820  AVAB @ 119.22 #+15145555491
Sell 17440  AVAB @ 117.23 #+15145550026
Sell 24180  AVAB @ 116.54 #+15145550397
Buy 20610  AVAB @ 116.05 #+15145558861
Sell 19090  AVAB @ 121.45 #+15145557086
Sell 20450  AVAB @ 121.93 #+15145552687
Buy 23610  AVAB @ 122.88 #+15145556944
Sell 22420  AVAB @ 125.34 #+15145553021
Buy 13500  AVAB @ 119.57 #+15145558600
Sell 15230  AVAB @ 122.46 #+15145558765
Sell 27280  AVAB @ 120.43 #+15145558599
Sell 35230  AVAB @ 120.19 #+15145558316
Buy 12350  AVAB @ 119.49 #+15145554948
Buy 18070  AVAB @ 119.07 #+15145558379
Buy 30580  AVAB @ 117.79 #+15145555143
Sell 36440  AVAB @ 117.66 #+15145559866
Sell 16920  AVAB @ 115.84 #+15145556467
Sell 26310  AVAB @ 115.55 #+15145551597
Buy 13520  AVAB @ 117.38 #+15145554536
Buy 20920  AVAB @ 119.16 #+15145556060
Buy 29970  AVAB @ 119.87 #+15145559421
Buy 21420  AVAB @ 121.21 #+15145550300
Sell 19500  AVAB @ 119.84 #+15145557920
Sell 12910  AVAB @ 119.55 #+15145555418
Sell 12960  AVAB @ 117.09 #+15145550576
Sell 17870  AVAB @ 118.12 #+15145559454
Buy 9270  AVAB @ 116.48 #+15145550476
Buy 69060  AVAB @ 120.62 #+15145555759
Buy 13380  AVAB @ 121.15 #+15145553254
Sell 20830  AVAB @ 122.16 #+15145557336
Buy 13440  AVAB @ 121.33 #+15145553093
Sell 33240  AVAB @ 117.91 #+15145559615
Sell 28680  AVAB @ 115.87 #+15145558296
Sell 13240  AVAB @ 118.42 #+15145556275
